gene,BrownBear1_S,BrownBear1_W,BrownBear2_S,BrownBear2_W,BrownBear3_S,BrownBear3_W,BrownBear4_S,BrownBear4_W,BrownBear5_S,BrownBear5_W
EGFL6,61,10,27,4,52.5,1,44,12,23,15
EGFL7,568,1015,590,1784,1287.5,2248.75,523,1190,486,1444
EGFL8,340.5,882.17,491,941,515.5,834.25,452.5,808.5,360,712
EGFLAM,217,188,271,236,407,372,396,403,271,338
EGFR,3258,6473,4049,6563.75,4276,6269,4447,5567,4145,6265
EGLN1,961,2035,747,2528,971,2333,1055,1982,889,2160
EGLN2,1183.25,1702,1004,1503,1384.5,1723,1443.5,1573,1413,1542.5
EGLN3,887,1133.5,884,1593.5,957,1526.5,1126,1870,1069.5,2116
EGR1,2899,897,4827,582,2893,713,5828,2092,9129.75,5291
EGR2,733,208,883,235,516,342,606,781,797,604
EGR3,1910,112,1900,59,2055,208,1927,263,1712,381
EGR4,1,0,0,0,0,0,0,0,2,1
EHBP1,445,552,471,508,541,637,605,799,488,901
EHBP1L1,1507,1230,1648,1091.33,1923,1115,1838.5,1479.25,1434.25,1408
EHD1,1308.25,950,1098,994,1429.5,1171,1359.5,1028,1262,1156
EHD2,3199,2816.5,3199,2527,3774,2541.5,3831,3896,3958.88,3273
EHD3,127,133,174,122,219,159,354,360,281,275
EHD4,545,223,473,178,576,227,366,280,301,278
EHF,757,103,616,168,344,115,512,181,260,195
EHHADH,409,177.2,425,170,526.33,292.58,414.33,247.33,512.5,252
EHMT1,1565.5,1890,1664.75,2135,1735,2367,1884,1688,1556,2000.5
EHMT2,1129,1870,1345.5,1962,1557,1811,1392,1445.5,1229,1719
EI24,2446,2857,2313,3375,2650,3690,2281,2937,2198,3677
EID1,2843,2133,2471,1831,3033,1907,2142,2110,2351,2156
EID3,64,62,26,16,46,39.5,52.5,54.5,45,40
EIF1,5419,5395,5031.5,8598,5508,9449,5378,5674,6584.5,7056
EIF1AD,660,431,767,467,639,523,838,435,737,568
EIF1AX,2950,2184,2090,2450,2548,3161,1487,1752,2197,2774
EIF1B,382,521,427,601,477,572,505,551,616,611
EIF2A,1471,1791,1282,1752,1528,1707,1414,1794,1372.5,1604.75
EIF2AK1,644,629,723,714,679,698,605,654,591,763
EIF2AK2,316,630,402,664,443,745,434,824,499,783
EIF2AK3,472,445,519,479,415,515,613,568,505,597
EIF2AK4,320,675.5,415,704,442,1017,416,645,312,879
EIF2B1,984.75,541,753,523,686,553,555,555,457,568
EIF2B2,1094,484,759,413,723,596,712,452,502,489
EIF2B3,1188,369,849,371,909,527,734,424,556,457.5
EIF2B4,2453,1670,2265,1894,1975,1955.75,1580,1408,1268,1612
EIF2B5,2455,1781.5,1948,2177,1976,2716.25,1883.25,1541.25,1239,2229.25
EIF2D,1186,1823,1224.25,1745.79,1707.25,1153.25,1453.91,1611,1288.75,1115.79
EIF2S1,1476,868,1290,857,1510,957,1153,914,1060,983
EIF2S2,3574,1695,2562.5,1923,2889,2344,2548,1835,2131,2178
EIF2S3,4700,3167,3712,3819,4208,3572,2372,2143,3176,2950
EIF3A,6189,3642,5506,4395,6084,3800,6102.5,4322,4661.67,4499
EIF3B,5056,3583,5098,3757,5787,4311,4942,3231,4314,4095
EIF3D,3015.25,1642,2643,1862,2956,1826,2722,1721,2244,1510
EIF3E,4388.5,4616,3404.5,4791,4250.5,4385.5,3935,4369.5,3728.5,3213
EIF3F,4046,3905,3324.5,4222.5,4332,3446.5,4280,3873,3699,3067
EIF3G,3306,3103,3015,3412,3718,3815,3442,2981,3058,2967
EIF3H,2695,2303,2337,2542,3023,2567,2884,2242,2538,1847
EIF3I,3202,1812,2993,2032,3120,2177,2549,1808,2292,1792.75
EIF3J,1498,961,1238,1115,1235,1282,1244,1215,1290,1095
EIF3K,4702.75,4604,4089.75,5215,5017.5,5336.5,4625.75,4005.5,4617,3504
EIF3L,3851.5,2779.5,3246.25,3251.17,3468,2589.5,3181.5,2643,2778,2458
EIF3M,2439,2047,2240,2256,2883,1742,2592,2262,2460,1394
EIF4A1,9787.92,5569.75,9963.5,6656.75,11895.5,6317.5,8372.5,5369,7843.25,5729
EIF4A2,2804,2532.33,3987.83,2372.17,4526.5,2351.67,4816,2623.83,5612.83,1858.67
EIF4A3,1362,1469,1259,1581,1661,1939,1297,1169,1361,1532
EIF4E,1184,430,1017,496,1034,614,866,566,895,680
EIF4E1B,0,0,0,0,1,0,0,0,0,0
EIF4E2,1485,1147,1512,925,1734,961,1421,1309,1282.5,1195
EIF4E3,270.5,425,260.5,367.5,337,403.5,302,426,233.5,363
EIF4EBP1,546,285,430,267,622,407,380,398,343,333
EIF4EBP2,6671,7282.83,6464.75,6513,8113,8444,7191,8342,7884,9652
EIF4ENIF1,688,1272,857,1559,914,1565,822,957,779,1424
EIF4G1,8195.5,4106.75,7662.5,4541.5,8018,4812,6896,4524,6405.5,5476.83
EIF4G2,15865.5,9682,13010,10838,15534,13955,14568,9855.5,14394,12222
EIF4G3,1220,1164.5,1396,1037.5,1373,933,1340,1102.5,1238.5,1068
EIF4H,4636,5898.5,4070,6803,4794,6751,4594,5813.5,4697.5,5862.75
EIF5,4817,3857,3158,3946,4100,5474,5106,4473,4235.5,4591
EIF5A,7136,3766,6220,4006.5,7603.5,4972,5449,3483,5631,4750.5
EIF5A2,187,294,133,318,139,469,119,470,164,433
EIF5B,1452,1305,1612,1374,1674,1457,1376,1490,1303,1729
EIF6,2503,1415,2261,1767.5,2048,2629,1759,1263.5,1680,1948
EIPR1,972,1026,802,1063,912,991,964,949,717,1095
ELAC1,239.5,408,225,342,294.67,370,257.5,385,190,323
ELAC2,1858,1917,1648,1800.5,1285,965,1262,1571,1095,2133
ELAPOR1,277,309.12,573,336,323,296,356,197,296,114
ELAPOR2,131,162,127,76,143,117,106,139,119,142
ELAVL1,1329,1006,1364,1048,1709,1184,1588,826,1325,1192
ELAVL2,11,48,2,24,3,4,3,6,14,12
ELAVL3,7,8.5,6,6,6,7,5.5,6,6.5,4
ELAVL4,4,13,14,10,12,10,5,19,8,15
ELF1,957,1312,932,1471.5,1030,1136,1217,1437,1232,1248
ELF2,863,1661,734,1540,983,1700,1090,1435,935,1287
ELF3,45,87,37,96,52,92,49,67.75,61,46
ELF4,448,964,732,1347,843,1667,779,1088,905,1650
ELF5,1124,4,476,12,235,10,365,9,86,5
ELFN2,5,15,9,17,17,9,10,18,0,10
ELK1,938,843,972,1181,1148,1267.25,1005,869,1033,1133
ELK3,388,499,397,477,480,690,396,621,308,621
ELK4,1870,3479,2123.5,4162,2260.5,3620,2439,3841,2553,4257
ELL,597,728,524.5,1020.5,580,958.5,597,550.38,569,986
ELL2,1592,509,965,393,795,526,895,505,681,493
ELL3,113,563,121,246,84,198,108,286,95,186
ELMO1,118,134,137,138,148,304,162,179,126,211
ELMO2,569,1121,541,1235,659,1665,714,902,596,1435
ELMO3,1621,3222.5,1888.5,3415.5,1862,1980.5,1720,1887.5,1772,1468.5
ELMOD1,27,12,12,8,10,11,28,31,38,9
ELMOD2,320,388,269,385,323,455,274,382,258,368
ELMOD3,943,1008,711,739,777,927,660,843,559,839.5
ELN,4458.75,1127.3,2832,1475,7469.25,3064,10179,2386.75,10570,4000
ELOA,1192,1257,1330,1289,1348,1570,1331,1057,1345,1576
ELOB,2189,1518,1634,1378,1956,1688.88,1441,1190,1566,1233
ELOC,830,935,589,916,727.5,1150.5,669,853.5,748,975.5
ELOF1,618,679,591,644,742,869,561,543,673,685
ELOVL1,1107,839.5,1316,731,1363,910.5,1362,1074,1056,770
ELOVL2,9,51,15,27,29,141,26,220,45,73
ELOVL3,1160,54,1126,45,1124,84,1199,114,266,45
ELOVL4,987,401,622,307,598,337,1169,631,387,274
ELOVL5,1684,615,1022,370,1298,588,1220,583,1677,648
ELOVL6,1097,135,673,76,1051,135,1082,205,2093,113
ELOVL7,581,601,306,512,358,737,363.33,801.25,319.5,619.62
ELP1,547,858,690,1189,742,1246,558,877,541,1075
ELP2,477,743,515,1013,676,978,489,591,554,794
ELP3,390,533,345,419,505,334,330,511,344,402
ELP4,239,193,159,215,219,220,216,220,197,245
ELP5,386,470,379,417,473,414,355,435,376,403
ELP6,163,121.75,119,94,226,125,153,115,108,84
ELSPBP1,0,0,0,0,0,0,0,1,0,1
EMB,940.5,1053.58,760.5,1289.17,776.75,1085,843.83,2414.67,940.83,1510.83
EMC1,1520.12,1569,1771,1621,1590,1724,1617,1566,1811.5,2216
EMC10,2566,2796,1417,2221,2381,3315,2232,2474,2428,3044
EMC2,581,460,471,362,539,453,501,525,493,496
EMC3,1289,1627,877,1726,1104,2235,965,1308,901,1755
EMC4,920,1141,859,1200,959,1325,863,1079,883,909
EMC6,740,382,590,397,715,534.5,519,348,542,444.5
EMC7,1073,1029,867,1167,916,1563,945,942,892,1391
EMC8,467,337.5,456,404.33,511,515.83,398,345,388,371
EMC9,471,337,461,369,525.5,496,425.5,260,377.5,352
EMCN,217,115,244,175,343,306,255,370,212,214
EME1,74,232,104,225,122.75,217,131,102,144,257
EME2,128,234.5,199,198.33,208,120.83,162,168.75,149,206.25
EMG1,355,378,449,450,456,482,334,464,406,445
EMID1,407.5,224,433,259,447.5,244.5,521,209,484,284
EMILIN1,523,634,745,710,678,768.5,818,673,770,1070
EMILIN2,812.5,238,713.17,230,846,349,852,500.5,1136,399
EMILIN3,195,147,259,241,308,393,390,337,529,228
EML1,297,760,403,886,350,1233,463,844,481.5,1288
EML2,847,965,725,817,793,870.5,743,1075,556,1169
EML3,1661,1869.75,1726,1982,2012,1490,1713,2053,1619,1618
EML4,639,936.58,671,792,750,799,798,1048.33,574,850
EML5,110,159,143,109,115,108,178,143,154,107
EML6,91,133.5,162,137,112,92,114,130,112,98
EMP1,9341,7519,8201,7067,8107,11344,7460,10072,8861,8741
EMP2,5729,3261,4978,2928,5038,3334,5179,4780,4622,2966
EMP3,572,620,952,820,838,796,728,971,1151,780
EMSY,291,314,283,230,312,227,394,428,443,320
EMX1,0,0,0,0,0,0,0,0,0,1
EMX2,99,65,64,76,143,124,113,79,116,157
EN1,41,24,36,18,56,27,46,40,37,57
EN2,3,0,1,1,2,0,2,0,1,1
ENAH,2996.5,2648,2567,2875.5,2478,3753,2481,2589,1979,3472
ENAM,1,2,1,0,0,1,2,9,0,0
ENC1,1749,226,1243,103,1314,109,1619,239,987,185
ENDOD1,4296,2292,3362,2031,3055,2405,2616,2834,2291,2470
ENDOG,305,96,224,109,319,96,388,71,390,98
ENDOU,1644,563.5,985,314.5,588,340,383,306,131,298
ENDOV,458,833,539,723,675,296,488,953,453,376
ENG,788,362,838,430,1445,419,908,652,709,442
ENGASE,1988,241,910,268,720,259.5,568,260,380,299
ENHO,92,227,110,178,143,183,105,151,176,168
ENKD1,74,38,80,13,71,24,42,46,35,38
ENKUR,1,4,0,0,3,0,1,2,2,4
ENO1,14396.5,10312,13984.5,14493.75,13807.5,16620,11274.5,12700,13025.5,17389
ENO2,249,362.25,269,385,378.75,545,314,392,321,405
ENO3,323,562,473,630,490,726,443,370,505,652
ENO4,8,27,18,40,10,40,17,64,23,57
ENOPH1,1273,1242,1046,1373,1168,1340,1013,1087,1067,1077
ENOSF1,72,139,83,117.5,80,127,59,60,48,129
ENOX1,28,17,42,21,35,25,57,33,63,39
ENOX2,271,396,288,383,262,257,305,524,269,251
ENPEP,29,22,43,13,149,28,75,35,59,39
ENPP1,2564,2920,2244.5,2143,2702.5,2203,2558,4139,2745,1402.5
ENPP2,329,374,297,145,413,315,402,491,351,290
ENPP3,3,8,5,11,7,26,5,13,3,25
ENPP4,215,201,199,185,276,246,162,202,202,261
ENPP5,123,25,176,97,145,42,92,56,130,102
ENPP6,31,15,56,29,96,52,74,64,39,42
ENPP7,0,0,0,0,0,0,0,0,0,0
ENSA,2586,1477,1943,1349.5,2276,1004,1736,1368,1915,1393
ENTHD1,0,0,0,0,0,0,0,0,1,0
ENTPD1,218,69,376,91,335,50,244,379,196,46
ENTPD2,1402.25,359,1476,495.75,1826,424.08,1556,392,1553,270.5
ENTPD3,330,168,324,195,317,90,312,249,246,260
ENTPD4,941.5,2668.5,1241,3440.5,1043,1117,780,2022.5,811,2096.5
ENTPD5,296,789,443,689,406,640,355,655,331.5,616
ENTPD7,159,192,176,254,158,255,231,145,192,315
ENTPD8,36.25,40.5,31,18,26,69,15,30.5,21.25,71
ENTR1,667,465,723,447,763,531.25,689,433,601,450
ENTREP1,1096,2004,918,1881,1205,1707,1392,1774,1124,1460
ENTREP2,15,0,5,1,12,4,4,1,13,3
ENTREP3,1033.75,832,1399,827,1457,1064,1200,915,1331.88,1229
ENY2,507,401,402,311,622,469,444,402,565,381
EOGT,332,468,374,570,449,735,236,544,342,726
EOLA2,350,656,418,645,450,623,423,613,365,578
EOMES,0,0,1,0,1,0,0,0,0,0
EP300,1391,1753,1897,1837,1842,1891,2406,1909,2005,2389
EP400,1473,2974,2200,2836,2115.5,3804.5,2352.5,2530.5,1972,4021
EPAS1,2125.5,2055.5,2058,1709,3400,1538,2256.5,2720.5,2151,1829
EPB41,799,1163,872,905,1055,1281,1105,993,1015,1244
EPB41L1,784.5,795.5,634,749,648,921,622.5,1108,563,920.5
EPB41L2,744,895,1081,1170,1438,1135,1335,1577,1588,1526
EPB41L3,232,270,180,255,232,461,231,245,319,514
EPB41L4A,394,634,471,598,421,691,527,553,408,477
EPB41L4B,1380,1168,1246,1494,1119,1077,1232,1007,1171,688.5
EPB41L5,310,217,227,207,297,326,293,357,284,270
EPB42,2,4,1,4,0,2,3,1,3,9
EPC1,618,922,676,801,725,740,936,850,730,812
EPC2,468,536,427,552,452,634,584,617,481,603
EPCAM,1351,1928,1392,2365,1459,2524,1400,1977,1819,2461
EPDR1,224,193,184,125,196,323,136,203,165,317
EPG5,946,883,833,956,780,983,920,813,703,1187
EPGN,193,10,289,3,257,13,285,53,257,59
EPHA1,2572,1351,2772,1423,3300,1753,2681,1503,1852,1464
EPHA10,44,44,14,53,8,24,12,116,12,19
EPHA2,2136,1308,2382,1497,2894,1979,3112,1229,2135,1905
EPHA3,66,7,37,7,61,13,103,32,72,31
EPHA4,790,709,810,458,832,611,1019,1138,781,562
EPHA5,2,1,2,0,2,2,4,2,3,3
EPHA6,2,0,1,0,1,0,1,0,1,0
EPHA7,17,19,38,14,9,8,40,80,26,7
EPHA8,2,0,0,1,0,0,0,0,0,0
EPHB1,59,54,66,33,90,74,69,34,116,71
EPHB2,305,24,318,15,387,42,386,32,326,83
EPHB3,2509,1517.25,1961,1120,2298,1042,2632,1364,2089,1180
EPHB4,1506,1964,1277,3304,1589,5244,1720.25,2117,1404,5710.25
EPHB6,3070,3089,2913,2646,3143,1973,3083,2494,2905.5,1913
EPHX1,741,1537,683.5,1680.5,931.5,2286.5,817,1305,1101,2852
EPHX2,506,685,422,796,454,590,761,692,969,704
EPHX3,351,238,307,126,367,117,300,196,163,189.5
EPHX4,6,10,6,19,12,32,7,26,15,21
EPM2A,44,41,67,20,38,27,66,57,52,45
EPM2AIP1,823,1288,1124,1211,1301,1204,972,1326,1074,1462
EPN1,1544,1127,1420.75,1354,1625,1504,1519,1074,1477,1523
EPN2,1485,1875,1307,1614,1563,1556.5,1927.75,1794,1519,1787.5
EPN3,496,180,375,249,414.25,147,334,163,211,136
EPO,0,1,2,0,0,2,0,2,0,0
EPOP,133,87,125,144,153,174,83,85,66,161
EPOR,6,17,8,10,8,23,15,20,3,21
EPPK1,422.99,999.24,419.83,589.49,365.05,439.24,460.99,816.99,592.99,403.49
EPRS1,2859,1467,2719,1564,2510,1751,2310,2011,2216,1942.5
EPS15,1763,1224,1241.5,969,1458,1110.5,1655,1913,1333,1054
EPS15L1,427,283,521,353,500,561,582,460.5,486,402
EPS8,818,518,888,784,1206,1195,828,988,886,1010
EPS8L1,252.12,890.25,299,797,242,482,657,1616,326,641.75
EPS8L2,2609,7365.75,2665,7276.25,2542,7191,2614.83,4624.5,2188,6379.25
EPS8L3,12,11,13,19,20,26,11,35,7,30
EPSTI1,8,3,2,4,5,0,7,6,14,2
EPX,0,0,0,0,2,1,0,0,1,4
EPYC,0,0,0,1,0,2,0,0,0,0
EQTN,58,43,67,72,51,40,40,81,45,28
ERAL1,624,753,795,696,883,769,675,625,610,676
ERAP1,377,512,344,410,411,384,444,577,448,559
ERAP2,96,206,75,247,107,95,116,307,142,171
ERAS,0,6,0,10,0,6,0,2,0.5,8
ERBB2,3300,3930,3321,4354,3590.5,3979,3986,4228.5,2903,3095
ERBB3,3752,4641.5,3224.5,4940.42,3554.25,4614.5,4031,4735,3111,4256
ERBB4,4,9,10,19,6,5,5,12,24,17
ERBIN,2255,2268,1634,2474,2225,2683,2324,2936,2094,2596
ERC1,780,899,787,662,839,657,952,1199,841,888
ERC2,4,0,10,1,2,3,9,0,4,0
ERCC1,387.75,139,362.5,140,375,204,372,221,265,265
ERCC2,569,330,914,374,921,241.75,737.75,530,714.58,430.5
ERCC3,515,516,464,518,554,454,549,397,481,263
ERCC4,331,285,375,281,301,286,379,309,324,299
ERCC6,682,1024,717,674,741,479,863,1178,571,652
ERCC6L,69,50,95,37,118,54,112,46,79,79
ERCC6L2,356,413,362,316,463,361,475,503,427,456
ERCC8,360,272,269,208,311,275,311,344,292,310.5
EREG,118,49,47,30,34,40,86,81,55,96
ERF,1375,1500,1389,2426,1606,2447,1552,1522,2162,2123.83
ERFE,16,8,11,4,29,7,27,10,13,6
ERFL,3,2,8,8,9,3.5,12,10,10,4.17
ERG,244,435,227,375,371,464,340,636,266,398
ERG28,509,312,562,358,615,476,471,373,483,482
ERGIC1,507,192,442,213,533,148.25,524,558,651,244
ERGIC2,615.75,583,529,570,597,613,507.5,627,507,582
ERGIC3,1754,2007,1397,1890,1705,1609,1613,1645,1519,1468
ERH,1112.5,1055.5,1127.5,1095,1370,1186,979.67,726,1130.67,915.5
ERI1,165,130,153,144.5,182,152,218,224,189,199.5
ERI2,54.42,59.73,102.25,97.39,75.94,41.4,55.4,86.32,35.42,34
ERI3,582,578,558,737,625,723,529,568,563,679
ERICH1,219,302,211,241,229,231,203,244,191,282
ERICH2,72,128,80,108,101,91,72,139,95,86
ERICH3,63,134,78,143,33,128,38,60,37,80
ERICH4,34.25,27,26,25,17,36.5,22,27,14,31.5
ERICH5,57,72,45,40,44,43,44,82,32,54
ERICH6,0,0,1,0,0,0,2,0,1,0
ERLEC1,863,839,673,907,689,988,580,830,684,932
ERLIN1,1064,992.5,967.5,1030.5,1033,1129,1108,1327,999,942
ERLIN2,1225.5,1853,1169,1967,1208,1978,1184,1794,1156,2106
ERMAP,0,5,3,4,3,12,4,4,1,9
ERMARD,1029,2397,1128,2473,1298,2609,979,1561,1063,2405
ERMN,0,0,0,0,0,0,2,0,0,0
ERMP1,2104.25,1043,2958,1691,2592,1223,2946.5,1594.75,1541,1503
ERN1,486,660,656,535.25,504,592.75,517,483,333,961.75
ERN2,1,0,2,3,0,1,0,3,3,0
ERO1A,780,767,618,683,669,729.25,597,1097,759,887
ERO1B,394,1063,437,604,436,496,515,993,395,640
ERP27,0,2,5,1,3,0,1,1,0,2
ERP29,409,189,553,155,750,106,683,267,607,181
ERP44,1036,668,946,715,1018,812,1121,954,992,703
ERRFI1,1090,838,1014,797,778,937,1731,652,2844,1119
ERVW-1,0,0,0,0,0,0,3.67,1,0,0
ESAM,484,682.5,535,739,985.5,1071.5,582,1055.5,548,780
ESCO1,514,783,482,949,555,863,541,740,572,1016
ESCO2,112,86,124,117,131,152,154,96,172,198
ESD,1127,1399,1302,2265,1056,1792,978,1210,1911,2253
ESF1,342,441,402,518,501,534,320,484,363,688
ESM1,50,8,61,3,84,3,62,6,34,4
ESPN,17,9,35,13,30,9,27,6,30,3
ESPNL,18,46,13,46.5,17,114.5,6.25,21,10,74
ESR1,689,779,491,756,468,645,549,682,859,696
ESR2,100,48,195,42,217,36.5,149,43,50,35
ESRP1,3236,3775,2632,3643,2767,3154,2703,3341,2207,3616
ESRP2,3259,7431,3816,6350.5,4161,4376,3266,6417,2486,4822
ESRRA,701,487,601,536,763,679,609,493,534,600.5
ESRRB,10,16,17,15,7,7,10,16,22,29
ESRRG,0,15,11,35,13,22,10,29,40,50
ESS2,384.25,542,428,607.5,456,563.5,418,578.25,408.5,523
ESX1,0,0,0,0,0,0,0,0,0,0
ESYT1,1852,1495,1603,1210,1956,1766,1793,1810,1749,1970
ESYT2,4077,6446,3955,6203,4189,6334,4068,6740,4421,6560
ESYT3,358,1404,355,1057,387.5,1556,432,1253,308,1432.5
ETAA1,402,411,332,516,349,547,284,477,284,437
ETF1,3459,2588,3143,2684,3580,3542,2989,2524,2674,3451
ETFA,1351,953,912,1076,1350,1213,1187,919,1041,1070
ETFB,1055,1068,1122,1037,1243.5,803.5,1046.75,967,987,826
ETFBKMT,146,158,107,84,136,88,145,135,106,88
ETFDH,1009,875,779,676,896,621,809,1152,587,776
ETFRF1,213,256,197,248,294,349,200,329,272,303
ETHE1,364,109,402.5,171.5,393.5,195,322.5,184.5,287,206.5
ETNK1,600,743,467,782,539,757,516,1016,706,1013
ETNPPL,56,41,8,10,24,41,33,48,36,26
ETS1,830,792,978,771,1394,1052,1106,1469,1008,1162
ETS2,1757,5043,1980,4299,2030,4216,2444,5147,5402,5273
ETV1,66,41,50,46,81,34,48,75,75,57
ETV2,28,31,34.5,20,34,20,33,20,33,6
ETV3,2091.75,3796,1638.75,3226,2135,2780.5,2777.5,3418.25,2500.25,3376.5
ETV3L,237.25,441,145.25,348,174,249.5,179.5,208.75,114.75,361.25
ETV4,399,114,425,138,1028,149,544,195.5,351,309
ETV5,543,368,400,229,463,395,494,545,372,570
ETV6,609,566,732,683,656,883,760,545,717,719
ETV7,1,9,6,15,5,4,4,29,5,10
EVA1A,146,52,106,96,149,200,139,197,125,268
EVA1B,187,83,205,103,333,155,248,119,247,123
EVA1C,137,95,95,93,214,157,97,152,143,110
EVC,673,243,997,415,1068,551,1170,670,911,652
EVC2,549,394,585,442,748,558,733,670,617,687
EVI2A,19,18,11,21,29,17,16,29,11,21
EVI2B,8.5,11.5,13.5,22,8.5,10.5,10.5,6.5,6,5
EVI5,383,386,333.5,402,374,496,329.5,508,359,481
EVI5L,636,538,828,1181,923,1258,731,613,548,843
EVL,1255,949,1169,1021,1386,1299,1057,757,1099,1215
EVPL,3361.12,9232,4264,8972,3804,6984,3753,6009,2340,6709
EVX1,0,0,0,0,0,0,0,0,0,0
EVX2,0,0,0,0,0,0,0,0,0,0
EWSR1,3830.5,4872,3974,5970.33,5731,5311.5,3719,2989,3891,5043
EXD1,35,81,40,52,54,49,43.5,61,48,70
EXD2,368,361,389,432,407,395,385,422,330,407
EXD3,920,1711,1474,1572,1527,672,1044,1397,1064,490
EXO1,166,159,181,198,251,186,194,100,203,215
EXO5,153.25,242.5,189.25,143,186.5,230.5,213.5,234.25,222.5,218.5
EXOC1,793,1452,553,1408,845,1599,638,1183,600,1233
EXOC1L,0,0,0,0,0,1,0,1,0,0
EXOC2,680,706.5,598,649,688,739.5,707.5,747,706,843.5
EXOC3,1475,1827,1536,1891,1630,2000.5,1648,1733,1356,1820
EXOC3L1,262,448,418.5,479,581.5,438.5,397.5,676.5,310.5,528.5
EXOC3L2,114,36,126.5,45,148,61,109,69,76,47
EXOC3L4,1,79.5,10,42,5,13,5,48.5,8,23
EXOC4,759.5,575,709,686.5,811,501.5,978,869,923,535
EXOC5,584,392,541,477,562,528,649,748,598,620
EXOC6,270,127,191,97,211,148,212,104,151,90
EXOC6B,1088,1003,1069,936,1144,904,1283,1433,1058,1160
EXOC7,956,1269,783,1135,909,1206,766,1208,697,1028
EXOC8,182.5,216,158,179.5,213,199,123.5,230,108.5,233
EXOG,439,1361,602,1553,601,1117,502,913,484,1017
EXOSC1,497,717,539,827,590,858,499,677,578,893
EXOSC10,1150,2174,1623,2614,1717.5,2416,1593,2000,1513,2537
EXOSC2,896,1762,927,1576,837.5,1261,882,1242,809,1126
EXOSC3,169,178,179,185,192,273,235,168,172,213
EXOSC4,369.5,320.5,350.5,384,422.5,564,330,262,249,374
EXOSC5,392,548,428,538,486,514,389.83,377,377,414
EXOSC6,153,142,170,147,230,133,97,113,93,119
EXOSC7,461.5,688,514,749.5,482.5,904,481,579,445,620.5
EXOSC8,201,273,237,280,303,275,225,302,247,281
EXOSC9,377,532,366,647,549,709,301,494,345,685
EXPH5,1814,2226,1698,1762,1402,1603.5,1989,2355.5,2063,2189.5
EXT1,1148,1461,1131,1554,1192,1514,1370,1982,1719,1995
EXTL1,25,27,13,21,18,24,8,23,5,23
EXTL2,275,192,240,134,238,144,238,236,218,193
EXTL3,1155.5,1076,1013,1081.5,1207.5,1163,1382,1328,1220.5,1343
EYA1,2,4,11,8,6,11,4,13,6,8
EYA2,115,91,135,197,96,138,159,80,115,71
EYA3,698,1187,790,1634,769,1397,859,931.5,847,1325.83
EYA4,10,2,10,0,4,4,11,2,2,3
EYS,82,58,67,40,44,9,61,45,78,25
EZH1,808,1341,871,950,894,885,960.25,1513,768,1128
EZH2,754,2365,850,2266,865,1917,931,1337,917,2102
EZHIP,0,0,1,0,1,0,2,0,2,1
EZR,5445,5242,4625,5285,5248,5929,4801,5252,5869,6019
F10,1,3,0,6,0,12,0,10,0,3
F11,1,2,1,4.17,1,0,0,4,2,0
F11R,2900,2177.25,2390.5,2013.25,2916.25,2209,2817,2606.5,2488,2360
F12,338.5,365.5,335.5,325.5,389,295,406,376,357.33,238
F13A1,270,103,274,155,166,169,430,286,714,343
F13B,0,0,0,0,1,0,3,0,0,1
F2,11,14,1,0,26,15,38,25,27,13.5
F2R,201,155.33,285,185,233,315,362,476,321,319.5
F2RL1,128,132.83,85,83.5,76.5,97,160.5,175.33,236,155.83
F2RL2,259,128,156,61,194,107,302,294,214,138
F2RL3,18,11,25,7,44,5,25,24,27,12
F3,258,423,203,675,248,950,238,674,337,1052
F5,36,11,52,20,44,12,39,20,33,7
F7,0,7,0,5,0,13.5,0,7,0,4
F9,0,0,0,0,0,0,0,0,0,0
FA2H,28,6,26,6,15,27,45,18,12,2
FAAP100,448,454,539,390,598,256,605.17,535,460,358
FAAP20,1214,1167,1841,1152.75,1809,973,1682,1308,1929,1103
FAAP24,18,72,32,59,35,77,40,33,31,42
FABP1,0,0,0,0,0,0,0,0,0,0
FABP12,0,0,0,0,1,0,2,0,0,1
FABP2,1,0,0,0,0,0,0,0,0,0
FABP3,14,12,22,2,17,4,36,11,104,9
FABP4,8502,6103,4262.5,2861,8029,1780,5193,6297,5725,4492
FABP5,16604.5,2100.5,11005.5,1621.5,13298,1649.5,8710,2478,6495.5,2153.5
FABP6,0,0,0,0,0,0,0,2,1,0
FABP7,46,11,11,3,118,2,16,4,15,1
FADD,1497,1154,1217,1032,1463,1128,1450,1094,1238,999
FADS1,314,99,467,35,525,152,460,99,738,165
FADS2,489.83,303.83,1091,213,481.83,427.67,505,245.33,1105,436
FADS3,667,570.5,438,379,491,1127.5,476,777,489,1579.5
FADS6,459,63,382,61,394,80,303,41,228,101
FAF1,912,695,768,705,904,761.5,924,687,870,837
FAF2,890,1032,802,1187,822,1218,918,1025,796,1421
FAH,609.5,357,621.5,498,733,385,605.5,448,586,298.5
FAHD1,674,327,459,243,563,382,405,223,404,274
FAIM,197,288,214,447,282,346,249,317,247,233
FAIM2,47,57,74,104,107,99,39,82,35,99
FAM104A,943,523,712,524,854,621.5,799,589,696,513
FAM107A,253,308,159,325,437,529,231,584,293,507
FAM107B,1339,737,556,833,353,1121,557,718,444.5,943
FAM110A,538,115,445,99,482,142,530,132,441,177
FAM110B,159,79,78,65,121,114,112,96,99,116
FAM110C,129.5,104.67,81.5,111,77,123.5,123,149,60,131.5
FAM110D,97,106,97,111,102,64,88,153,62,50
