gene,BrownBear1_S,BrownBear1_W,BrownBear2_S,BrownBear2_W,BrownBear3_S,BrownBear3_W,BrownBear4_S,BrownBear4_W,BrownBear5_S,BrownBear5_W
ABT1,548,461,601,459,699,446,629,430,552,355
ABTB1,514,596,369,508,386,489,383,570,283,491
ABTB2,361,280,406,328,333,307,314,416,297,324
ABTB3,510,783,484,950,402,1095,468,569,415,818
ACAA1,2230,1111,1556,1195,1763,1075,1224,1107,1106,973
ACAA2,1658.25,2335,1348,2059.83,1635.5,1825.5,1481.5,2386,1118.17,1979.5
ACACA,2982,1219,2450,1008,3457,1455,3754,1264,4976,1433
ACACB,106,263,88.33,201,161.75,220,174,320,144,271.5
ACAD10,139,154,144,86,160,227,153,166,118,177
ACAD11,872,1283,688,1114,685,1060,745,1055,606,1312
ACAD8,427,320,475.5,313,420,221.5,389.5,309,355,233
ACAD9,2383,1580,2621,1715,2716,1243,2468,2016,2152,1378
ACADL,482,110,179,98,220,114,212,99,259,138.5
ACADM,573,598,587,608,564,470,598,780,547,559
ACADS,827,880,610,680,816,405,608.5,773,579,638
ACADSB,577,746,463,369,496,286.5,637,438,678,361
ACAN,151,120,254,123,278,123,303,87,182,161
ACAP1,208,536.5,313,796.5,260,758,251.5,490,180,630
ACAP2,1046.5,942,827,921,799,1283,910,1248,992,1466
ACAP3,797,725.5,1172,718,1066,793,1089.25,706,1409,776
ACAT1,1527,1642,1301,1502,1668,1948,1267,980,1448,1737
ACAT2,1110,725,1469,705,1414,624,1358,1044,1188,777
ACBD3,729,770,659,786,767,1039,894,945,903,1075
ACBD4,341,614,433,430,491,352,346,576,354,439
ACBD5,491,595,451,548,428,575,568,628,486,613
ACBD6,364,535,344,707,394,763,356,508,315,627
ACBD7,49,75,51,40,40,55,33,51,44,80
ACCSL,26,39.5,43.5,39.5,72,72,19.5,26.5,63,82.5
ACD,123,194.75,132,151,162,135,115,161,128,151
ACE2,184,691.5,148,680,149,420.5,239.5,364,58.5,248
ACER1,467,157,398,145,325,177,443.5,272.5,159,100.75
ACER2,206,624,168,506,223,667,163,585,257,571
ACER3,1485,1107,1365,993,1719.25,1068,1540,1506,1824,1590
ACHE,57,84,56,58.5,71,73.5,49.5,82.5,48,64
ACIN1,2714.5,3359,3922,3648.33,4307,3445.17,3947,3300,3751,3749
ACKR1,354,268,450,150,680,131.5,363,401,290,70
ACKR2,130,176,213,185,249,295,154,204,134,359
ACKR3,539,616,396,564,756,344,637,533,753,373
ACKR4,780,2034,612,812,567,527,1182,1441,1739,383
ACLY,3636.97,2199.5,4783.5,1979,5345.42,2528,5135.75,2691,6007,2280
ACMSD,0,0,0,0,2,0,0,0,2,0
ACO1,1559,1418,1259,1733,1485,1764,1474,1264,1957,1703
ACO2,2459,802,2707.5,782,2962,712.75,2530.75,1212,2538,772
ACOD1,0,1,0,0,0,1,0,0,0,0
ACOT11,146,283,195,195,172,377,185,366,124,456.5
ACOT12,85,72,89,72,115,121,87,116,115,131
ACOT13,499,361,347,243,314,312,364,350,332,385
ACOT7,522,152,510,209,774,249,472,265,297,238
ACOT8,448,477,496,364.5,490,184.5,348.5,587.5,310,245.5
ACOT9,1106,1857,1437,2037,1670,2007,1658,1758,1477,1899
ACOX1,1174,1842,1424,2092,1204,1595,1451,1873,1131,1143
ACOX2,16,0,33,1,31,0,49,2,17,5
ACOX3,355,622,464,771,486,1083,480,888,522,1348
ACOXL,75,17,15,11,43,5,15,5,8,5
ACP1,764,703.5,720.5,690.5,770.5,934,642,597.5,563.5,798
ACP2,286,316,313,339,401,301,351,361,292,329
ACP3,2083,485,1034,468,741,193,1003,787,570,378
ACP4,1,0,0,0,1,0,0,0,0,0
ACP5,459,120,320,200,300,195,444,222,392,186
ACP6,841,645,702,703,765,636,808,658,563,617
ACP7,441,15,151,11,175,13,299,19,151.17,6.25
ACR,2,0,2,1,0,0,0,1,0,0
ACRBP,14,25.5,31,30,15,41.5,25,36.5,22,28
ACRV1,0,0,0,0,0,0,1,0,0,0
ACSBG1,610.5,2479.83,696,2408,726,1969,969,2275.33,448.33,1675.83
ACSF2,394,313.5,195.5,107.5,446.5,150,306.5,267.5,376,274
ACSF3,330,287,352,250,407,296,422,358,292,393
ACSL1,1209,1632,947,1546,1072,1336,2658,1215,1586,1257
ACSL3,1205,847,1103,851,1209,906,1079,1223,891,824
ACSL4,539,464,605,599.5,612,784,561,650.5,540,811
ACSL5,159,168,373.75,219,323,213,246,264,196,143
ACSL6,4,1,4,4,0,2,1,1,4,6
ACSM1,379.56,624,438.5,499.5,587.5,231.5,544,751,574.06,288.06
ACSM2B,11.5,8,8.5,3,13.5,6.5,11.5,12,7,2
ACSM5,190,59,152,72.5,163,41,148,99,121,26
ACSS1,714,641.5,580,512,758,542,730,766,526,550
ACSS2,1273,1551,1187,1453,1583,1124,1600,1751,1977,1330
ACSS3,258.5,372.5,292,444.5,347.5,194.5,277,367.5,327,230
ACTA1,12,0,4,4,18,20,7,4,7,1
ACTA2,2073,1194,3323,1293,4200,1425,3882,1814,3658,2085
ACTB,23865,13839.5,21763,13247,29750.83,17038,18993.5,19189.5,17670.75,20646.5
ACTBL2,327,2,220,1,84,0,208,2,37,1
ACTC1,220,18,329,29,238,10,321,49,252,53
ACTG1,62649,19646.5,50453.75,17969,60016,20054.75,48390,33090.5,44755,24738
ACTG2,560.5,351.5,934,596,755,498,1095,295,1092,893.5
ACTL10,1,0,0,0,2,0,1,0,0,0
ACTL6A,408,554,390,657,485,700,463,545,418,662
ACTL6B,6,2,3,7,3,2,1,2.25,1,15
ACTL7A,1,1,0,0,0,0,0,1,0,1
ACTL7B,6,9,3,7,2,9,4,9,5,27
ACTL8,0,0,0,0,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0,0,0,0,0
ACTMAP,89,194.11,154,202,170,208,114,132.11,68,216
ACTN1,7440,3232,7002,5003,7375,7062,5758,5365,7333.5,6979
ACTN2,2,1,2,4,0,8,5,3,8,10
ACTN3,22,2,23,5,22,10,19,8,20,5
ACTN4,9073,6910,9012,8173,9580,7679.25,9298,8841,8315.83,7655.17
ACTR10,799,935,699,1047,878,1143,791,913,746,1037
ACTR1A,3676,2348,3141,2332,3623,2549,3043,2177,2919,2757
ACTR1B,1298,1923.5,1248,1642,1515,1666.08,1292,1937,1345,1684
ACTR2,3163,3123,2807,3027,2928,3539,3045,4174,2830,4026
ACTR3,3020,3115,2457,2660,2971,3366,2708,3886,2909,3355
ACTR3B,210,317,245,369,248,426,210,344,178,414
ACTR5,204,322,286,226,304,387,257,325,260,389
ACTR6,318,338,308,276,318,260,314,352,373,281
ACTR8,548,654,706.5,609,601.5,598,773,539,868,777.5
ACTRT1,2,1,2,0,1,0,0,0,3,0
ACTRT2,0,6,0,1,0,8,0,1,0,6
ACTRT3,4,4,7,1,3,0,4,2,1,0
ACVR1,639.33,274,548,248,542,379,652,338,500,360
ACVR1B,1628,1933,1616.17,2223,1691,1753,1648,1700,1390,2014
ACVR1C,90,36.5,48,8,168,25,116,55,202,42
ACVR2A,626,708,913,682,1046,513,1396,1248,1024,593
ACVR2B,189,442,243,397,330,447,377,458,349,422
ACVRL1,1098,914,981,986,1556,1323,1350,1340,1366,1095
ACY1,1439.5,1389.5,1608.5,1686,1568.5,1479.5,1235,1161.5,1107.5,1356.5
ACYP1,152,295,111,240,120,338,157,285.5,143,346
ACYP2,379.83,294,277,181,300,204,341,273.5,367.5,283.5
ADA,428.5,227,258,256,415,215,316,383,226,335.5
ADA2,38,15,42,33,31,10,45,23,53,17
ADAD1,0,0,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,2,0,0,0
ADAL,426,206,409,240.5,341,241,370,314,357,286.5
ADAM10,1280,599,1159,559,1222,563,1206,1320,1169,751
ADAM11,19,38,24,34,45,87,40,47,62.5,77
ADAM12,116.5,15,175,15,139,23,151,27,132,45
ADAM15,1175.5,1854,1585.5,1788.5,2092,2056.5,1659,2213.5,1375.5,1512.5
ADAM17,924,1357,919,1651,1087,2404,949,1068,831,2023
ADAM19,182,91,374,61,395,104,391,179,371,139
ADAM2,0,0,0,0,0,0,0,0,0,0
ADAM20,3,5,2,3.5,2.5,1.5,1.5,7,2,2
ADAM21,0,0,0,0,0,0,0,1,0,0
ADAM22,49,64,84,56,83,51,80,114,67,67
ADAM23,1,14,7,4,7,8,17,10,6,4
ADAM28,14,5,13,7,11,6,26,15,10,2
ADAM29,0,0,0,0,0,0,0,0,0,0
ADAM30,0,0,0,1,0,1,0,0,0,2
ADAM32,4,4,10,7,6,10,5,4,10,10
ADAM33,920.5,505,1301,723,1498,893,1445,1002.5,1632,1400
ADAM7,0,1,0,0,0,0,0,0,0,1
ADAM8,13,10,74,26,55,31,35,113,68,75
ADAM9,678,654,637,765,726.25,828,627,862,714,923
ADAMDEC1,3,3,4,0,0,1,0,4,0,3
ADAMTS1,2149,1524,2542,880,2626,699,5393,2871,5715,1820
ADAMTS10,322,816,483,1072,661,1229,571,1177,611,1277
ADAMTS12,534,275.25,679,115,828,266,810,430,735,289
ADAMTS13,56,35,88,55,103,43,146,85,149,41
ADAMTS14,166,706.08,321,930,343,684,353,430,371,479
ADAMTS15,231,165,246,181,299,300.5,393,280,279,319
ADAMTS16,19,16,28,12,57,34,38,23,56,29
ADAMTS17,581,216,681,214,668,258,809,234,770,228
ADAMTS18,204,33,389,14,365,75,390,20,273,70
ADAMTS19,24,6,18,2,25,4,46,9,25,21
ADAMTS2,4094,1085,2853.5,1142.5,2805.5,2239.5,3661.5,1003,4211,1396
ADAMTS20,37,82,55,111,63,40,84.5,87,111.5,62
ADAMTS3,61,133,80,103,72,215,100,138,99,291
ADAMTS4,110,39,400.17,20.33,230,73.5,370.5,125,312.17,81.17
ADAMTS5,518,139,412,75,471,60,495,212,472,183
ADAMTS6,469,135,471.5,160,575,50,257.5,256.5,189,130.5
ADAMTS7,173,42,230,52,405,82,316,61,225,85
ADAMTS8,142,13,129,6,255,16,414,21,382,13
ADAMTS9,407,343,777,251,903,170,1215,989,1054,204
ADAMTSL1,202,359,144,234,188,358,208,175,145,279
ADAMTSL2,54,20,111,17.17,94,25,70,23,102,27
ADAMTSL3,410,854,624,850,878,737,839,1206,576,966
ADAMTSL4,521,950.5,681,910,822,984,733,1135,1105,866
ADAMTSL5,144,133,177,134,178.75,258,167,168,165,237
ADAP1,63,71,90,76,84.5,90.5,98,55,157,99
ADAP2,252,392,382,505,432,614,315,812,313,599
ADAR,1587.5,3057,1876.5,3094.5,2166.25,4066,1913,2581.75,1740.5,3773
ADARB1,473.5,732,434,687.5,371,1018,522,1024,428,957
ADARB2,3,3,0,1,1,1,2,0,1,1
ADAT1,103,112,75,28,87,43,153,129,79,53
ADAT2,191,448,239,387,249,487,225,357,258,474
ADCK1,131,108,226,198,322,139,142,141,127,92
ADCK2,673,658,893,640,962.5,631,858,745,791.5,518
ADCK5,786.5,2138,1050,1521,1189,1075,919,1230,898,1076
ADCY1,154,755,134,554,134,397,362,835,356,657
ADCY10,6,9,1,7,3,6,6,14,7,9
ADCY2,17,19,24,27,26,59,30,33,37,33
ADCY3,299,299,469,412,611,551,598,547,593,540
ADCY4,229,623,289,457,492,831,367,843,287,848
ADCY5,187,188,52,73,166,188,133,181,221,547
ADCY6,1503,2557,1972,2017,2373,2011,2347,2238,2529,2020
ADCY7,366,292,482,409,475,442.75,437,476,717,563.5
ADCY8,4,3,9,9,11,0,4,3,3,1
ADCY9,657.5,944.5,633,987.5,635,1219,785,1056,825.5,1341.17
ADCYAP1,13,5,5,3,10,3,14,8,13,2
ADCYAP1R1,157,82,141,60,260,91,234,77,148,190
ADD1,3334,3062,3429.5,3221,3951,3197,3768,3350,3402,3611
ADD2,1,5,7,3,5,9,4,7,6,6
ADD3,742,1209,602.5,1095,1021,1288,918.5,1733.5,960,1248
ADGB,8,7,9,4,9,4,5,5,2,2
ADGRA1,18,28,19,43,27,32,20,22,15,27
ADGRA2,1174,999,1211,750,1523,1496,1635,1395,1689,1955
ADGRA3,1405.5,1441.5,1366,1102,1543,1574,1749,1682,1535.5,1558
ADGRB1,143,126,213,181,327,166,251,213,249,147
ADGRB2,57,32,124,85,96,68,121,63,115,66
ADGRB3,3,25,7,26,12,21,11,41,9,24
ADGRD1,933,346,542,357,739,475,640,446,770,1022
ADGRD2,0,0,0,0,0,0,0,0,0,0
ADGRE1,16,2,22,15,24,11,13,42,12,20
ADGRE2,56.75,466.5,65.25,483.5,57.25,561.75,50.5,531.5,41.75,395.58
ADGRE3,1,5,2,0,1,1.5,2,0,0.4,9.2
ADGRE5,460.75,328,559.75,331.67,646.25,638.25,703,483,572.75,794.92
ADGRF1,0,5,1,3,2,1,1,2,0,9
ADGRF3,69,150,96,181,70,139,49,159,45,140
ADGRF5,888,1264,910,1218,1627,1696,1075,2180,1002,2165
ADGRG1,5757,2329,4430.5,2498,4965.5,2452,4460.5,2561,3815,2306.5
ADGRG2,128,258,170,182,154,228,121,324,181,237
ADGRG3,220,303,249.5,266,240.5,399,241.5,364,213,339.5
ADGRG4,18,7,5,12,5,5,12,5,27,7
ADGRG5,9,6,10,18,12,4,14,7,14,0
ADGRG6,479,546,338,442,351,327,423,426,375,288
ADGRG7,13,0,19,3,8,7,5,2,1,0
ADGRL1,486,1306,921,1252.25,801.75,1467,953,1174,841,1249
ADGRL2,2078,768,1829,558,1914,824,1956,1184,1616,861
ADGRL3,625,241,426,381,521,174,601,556,541,181
ADGRL4,271,181,319,201,471,288,297,522,282,207
ADGRV1,305,263,255,313,204,148,188,300,160,141
ADH4,44,256,26,284,62,252,27,183,114,255
ADH5,1708,1517,1224,1237,1920,1350,1502,1510,1411,1384
ADH6,0,0,0,0,0,0,0,1,0,0
ADHFE1,127,239,82,199,110,198,85,201,83,241
ADI1,1162.5,491.5,1112,411.5,982.5,296,1044.5,507.5,891.5,332
ADIG,19.5,12.5,13.5,16,40.5,38,16,21.5,27,16
ADIPOQ,4676,4755.5,1379,816.5,4117,1131.5,3693,3067,4664,425
ADIPOR1,2149,2441,1544,2704,1550,4038,1539.75,2487,1523,3455
