"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"AAMP",2165.3694342363,2129.88375555578,2005.89400608582,2307.36201296898,1939.22295422003,2346.845093153,1825.36510948349,1765.90955961504,1866.50325003628,1975.13101903065
"AAR2",612.395218894962,445.168457965677,588.409711087542,395.955975688617,552.840302454287,381.60845102408,563.028148211257,447.101305698712,507.492297519882,374.274358202807
"AARS1",2063.48231375465,2078.44206707975,2089.649622619,1762.41229385114,2116.20797359438,1839.59651329053,1991.48825568717,1920.56724397623,1800.26215014948,1621.23793775968
"AARS2",308.878849460156,450.114774165296,349.86523361962,354.115266917397,322.569470795187,306.599418881755,336.22528992121,327.124435406395,375.010097746271,296.454937190342
"AARSD1",1092.87342916632,868.573124653032,1115.32795687224,826.609124504587,1077.13463404174,678.831740888044,952.969904569582,888.578695602472,835.492582443258,624.408211457158
"AASDH",588.800306783422,846.80933337471,654.141967100925,690.881947271118,727.922257104182,491.309160532231,683.392823005536,845.462007841171,607.922352186974,600.321247810443
"AASDHPPT",782.922083701089,570.80488943599,661.563350844371,619.44659083245,709.843142221856,660.079482852463,567.007145725117,504.277782947395,566.2545635485,608.659042918921
"AASS",304.588865439876,502.545725881253,277.771791540425,717.415079662623,182.694213547716,592.57135392437,207.90262009921,209.022203712396,197.654894823533,441.903140749354
"AATF",533.030514519783,634.117736791109,532.219234172876,849.060236528168,503.360619618448,607.573160352835,511.30118053107,626.129291838029,507.492297519882,579.939970878607
"AATK",130.844512618538,181.035172906042,160.089849322917,155.116773981108,257.865270163704,314.100322095987,229.787106425442,300.879495029951,308.768997859465,277.000081937226
"ABAT",233.804129105257,366.027398771779,309.577721869481,449.022240471627,204.579457878953,221.27664481986,208.897369477675,365.554526671903,168.807964227666,231.605419679955
"ABCA12",1202.26802168345,613.343208752711,501.473501521455,320.438598882025,413.916577569045,316.913160801324,810.720743449071,844.524688542012,338.684333292216,321.468322515777
"ABCA13",1.07249600506999,3.95705295969491,4.24079071054084,6.12303055188583,3.80612944891076,5.6256774106744,8.95274440618606,12.1851508890634,2.13680967376792,17.6020118956766
"ABCA2",1688.10871198016,3566.29397992503,2736.37020597648,4319.79805435545,2254.1801661174,3298.52218845876,2353.57702944847,3151.26748377164,2123.98881572532,3138.71664750275
"ABCA3",495.493154342333,233.466124621999,585.229118054636,236.757181339585,620.399100172453,426.613870309475,577.949388888233,239.953740584634,324.795070412724,390.949948419764
"ABCA4",366.793633733935,220.605702502991,208.858942494136,87.7634379103635,253.107608352565,91.8860643743485,487.427195447908,438.665432006284,225.433420582516,120.434818233577
"ABCA5",466.535762205444,2004.24732408547,235.363884435017,2088.97392328505,381.564477253303,1411.1074171775,229.787106425442,927.946106167139,304.495378511929,1418.35159012004
"ABCA6",303.516369434806,121.679378510618,177.05301216508,171.444855452803,298.781161739494,148.142838481092,312.351304838047,243.703017781269,363.257644540547,270.515130186187
"ABCA7",451.520818134464,325.467605934906,683.827502074711,388.81244004475,613.738373636859,315.037934997766,612.765617134512,387.112870552554,490.397820129738,443.755984106793
"ABCA9",598.452770829052,559.922993796829,404.99551285665,496.985979794733,1040.02487191486,665.705160263137,882.342698698559,862.333755226028,978.658830585709,1067.23777388523
