"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABCA4",250.097625563862,-0.545016883813516,0.389278203006359,0.0999210721566593,0.160459186931584
"ABCA5",946.837296966633,2.23126372127845,0.257778368570626,5.42160613351664e-19,1.91382696513137e-17
"ABCA6",241.044471312994,-0.552608047489367,0.24925219261496,0.0178042438955127,0.0368832047835446
"ABCA7",471.243696674705,-0.595209169936862,0.158001863492155,0.000109323493036209,0.000417744025132948
"ABCA9",755.666034785079,-0.0838720735426823,0.259700266074012,0.728553690420395,0.795088891109873
"ABCB1",226.558195483946,0.463451212187244,0.198710040394679,0.0151453562508874,0.0321099745138935
"ABCB10",699.243579276778,0.444652437228022,0.0960280361020712,2.93946473637988e-06,1.59684680200385e-05
"ABCB4",115.671698728377,1.56938407649856,0.206765939289018,5.8388615349766e-15,1.2995700642161e-13
"ABCB6",1543.18690556404,0.355194925429888,0.127958824621768,0.00479975317942799,0.0118424072522889
"ABCB7",378.19036331615,-0.00229678968589086,0.142608533770603,0.985612056263566,0.989269773487675
"ABCB8",519.714870022677,-0.790485977542153,0.198430455617684,3.34121329796162e-05,0.000144788644019206
"ABCB9",33.1083943973663,-0.154175972168198,0.347700963844447,0.612286545293283,0.696093882410722
"ABCC1",1275.88888219172,0.307392791878002,0.184098094255753,0.0841798963737767,0.139052425923927
"ABCC10",550.895354179141,0.591968192065932,0.180363194348888,0.000685832567133306,0.0021379273772347
"ABCC11",250.180264900118,-0.792938654372548,0.314656692211001,0.00534488232821506,0.0130048487859107
"ABCC12",8.02526204114569,0.997068422855502,0.742120431983723,0.0396280543063318,0.0730251783782372
"ABCC2",106.375092612776,0.631081472973927,0.193847478561527,0.000710241284224308,0.00220617895020998
"ABCC3",164.54050667273,1.50829602904299,0.248427662096107,2.39960684152187e-10,2.71493979185006e-09
"ABCC4",163.294010947197,0.336151142394852,0.172887743299368,0.0451307987534117,0.0816882122587867
"ABCC5",545.112040966266,-1.54240696511759,0.241973154253429,3.25977683866269e-11,4.23881164158583e-10
"ABCC6",28.6048126653811,-0.916486087692744,0.424732685261754,0.0107466477415161,0.0238829429158598
"ABCC8",13.2099122905985,0.879206532367631,0.622082821587065,0.0474674565811154,0.0853244331048667
"ABCC9",340.344101373121,-0.447642199667605,0.222963687783035,0.0341647086218435,0.0643550808084885
"ABCD2",15.2025781180897,-1.65615065453437,0.656933846192833,0.00142200673680727,0.00406386316461275
"ABCD3",1338.26494388401,0.0283335463346539,0.0915120745522391,0.755766608911669,0.817708615661801
"ABCD4",517.056503246784,0.0304327832943492,0.177383670619672,0.860980588204628,0.899052180756074
"ABCE1",1790.52757789961,0.141515476835067,0.130037732159492,0.269794383612234,0.364810455125712
"ABCF1",1892.34400192219,-0.184320242268075,0.117034233436121,0.110132567644987,0.174085600835932
"ABCF2",812.810341838103,-0.491542292255372,0.166056460233515,0.0022954959178981,0.00620832101607439
"ABCF3",2096.08557824796,0.884753539057406,0.134615570186325,2.22085631909822e-11,2.96282041058833e-10
"ABCG1",835.535730468348,0.879987877277412,0.211087400466309,1.33358248749574e-05,6.3222484298415e-05
