"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD18",492.703728679557,1.73001750766481,0.163012766056456,10.6127731558499,2.59918033461238e-26,1.87247073085341e-24
"ABI1",1932.95641024568,0.463251034679092,0.119332529255494,3.88201806807648,0.00010359317824411,0.000398487346863045
"ABL1",2965.03118351418,1.17614095087508,0.188412663068845,6.24236679062978,4.30998795497238e-10,4.62720726309383e-09
"ABLIM3",1462.35705098438,1.14479148245055,0.194529728139963,5.88491791664297,3.98251594114943e-09,3.62326836913852e-08
"ABR",3013.80640473594,0.711700796043476,0.0780658614059269,9.11667127251403,7.74671278265214e-20,2.97885578679325e-18
"ABRAXAS1",241.771527597082,0.405280125472164,0.138316468215954,2.93009307351167,0.00338860491338436,0.00872230956996266
"ABRAXAS2",445.366482306078,0.450986784652033,0.122376998900112,3.68522507256565,0.000228500621813748,0.000806223190898192
"ABTB3",641.346206070959,0.788741737950211,0.187773576161745,4.200493775923,2.66333490160725e-05,0.000117460922072384
"ACAA2",1762.77570619936,0.455799392099601,0.138702322254664,3.28616986861064,0.00101559743834907,0.00303407156175711
"ACACB",191.156836953652,0.829375253058289,0.202383962510009,4.09802853334918,4.16683926160139e-05,0.00017670522096892
"ACAD11",930.924799313583,0.59723677420551,0.139577282372786,4.27889670906759,1.87821992766812e-05,8.5949135917403e-05
"ACAP1",434.151901389166,1.31373829373119,0.198433227290357,6.62055600098094,3.57850312796701e-11,4.63054107101303e-10
"ACBD6",484.385477399885,0.731364011143817,0.146781613915279,4.98266773089138,6.27135874422826e-07,3.88656888467798e-06
"ACE2",313.998201910349,1.55579085693333,0.356745477150413,4.36106680135252,1.29429840316851e-05,6.1442621882529e-05
"ACER2",388.434550773119,1.43721706622537,0.159116135037618,9.03250362312777,1.67788262802448e-19,6.28760687571806e-18
"ACOT11",244.144456776565,0.922298423257279,0.214283693228053,4.30409990309303,1.67665996828662e-05,7.76109321800651e-05
"ACOT9",1673.07740014464,0.290215264228354,0.120651109892909,2.4054089886612,0.0161543751965595,0.0339353394690877
"ACOX3",686.902145312581,0.924686226433519,0.193574639810634,4.77689756952718,1.78020395899712e-06,1.00634177570682e-05
"ACSBG1",1396.74831955853,1.5662014870847,0.196847868598234,7.95640561535016,1.77109125235921e-15,4.21290574179785e-14
"ACTL6A",521.869372502218,0.433667885599364,0.114927763738476,3.77339531800336,0.000161040807901605,0.000589581053611974
"ACTMAP",152.345185722673,0.594765184744444,0.249862323440138,2.38037162448359,0.0172951861197895,0.0359721936146929
"ACTR10",889.891797376579,0.280931767809138,0.103442201372099,2.71583322940487,0.00661092098562708,0.0156453144806004
"ACTR1B",1539.5775266075,0.308007265083113,0.096177651583613,3.20248269750425,0.00136248484801973,0.00392105944359176
"ACTR3B",291.55883844161,0.680882755688832,0.137609410146159,4.947937462748,7.50039966497035e-07,4.58322585862683e-06
"ACVR2B",360.397929200501,0.45107220946696,0.176658891313476,2.55335129816108,0.0106691825682126,0.0237340354280302
"ACYP1",214.612502159961,1.03650134350378,0.159745556818282,6.48845178637954,8.67228991370044e-11,1.0580011775107e-09
"ADAM17",1298.79988386526,0.755474984623376,0.196423863205766,3.84614665597921,0.000119989960132352,0.000455347838386585
"ADAMTS10",804.699115130539,0.97977519814084,0.184952868808667,5.29743174275612,1.17442784148405e-07,8.27160869999737e-07
"ADAMTS14",472.787820717914,0.977253273394978,0.264489109837293,3.69487149771935,0.000219998021248929,0.000779398850871858
"ADAMTS3",126.120499835627,0.982765040613752,0.280723444990747,3.50082993832648,0.000463811714426625,0.00151850802441661
"ADAMTSL1",226.213895398001,0.570944351387383,0.221839378140031,2.57368351901432,0.010062226748874,0.0225837108491386
"ADAP2",452.895369444074,0.688560838714948,0.194946098694064,3.53205754476539,0.000412339615748276,0.00136877829940889
"ADAR",2542.45555349692,0.741549939390868,0.134551849941071,5.51125785127176,3.56278332411039e-08,2.74119989845459e-07
"ADARB1",652.518248842002,0.879950424828032,0.152183543556731,5.78216543170454,7.37451328507766e-09,6.36168912422388e-08
"ADAT2",326.312234895032,0.792257655941373,0.139967625354112,5.66029218497488,1.51115483485208e-08,1.23138886588824e-07
"ADCY1",425.099415388009,1.38821354000343,0.325911388090877,4.25948153617859,2.04901623014556e-05,9.27549024418288e-05
"ADCY4",512.946174592742,1.02224464751052,0.207631022579785,4.92337144425373,8.50657669406628e-07,5.13302832992376e-06
"ADCY9",896.162551636376,0.545393952678152,0.138388439882788,3.9410369329988,8.1130132115321e-05,0.000320204116836801
"ADD3",1064.69978224343,0.53671174419976,0.163615436021794,3.28032462736748,0.00103687705118772,0.00308927750733682
"ADGRB3",17.4233942682203,1.61856377737576,0.41635222465757,3.88748679968494,0.000101287494062014,0.000390674010094963
"ADGRE2",262.626937510321,3.07426658600814,0.174505225198056,17.6170460369824,1.82277681452593e-69,1.23738502986087e-66
"ADGRF3",108.137130853473,1.13003782499365,0.234323774330266,4.82254875000829,1.41735373814508e-06,8.16458664434095e-06
"ADGRF5",1373.78511462105,0.536869043865411,0.197687858814796,2.71574110359695,0.00661276070639411,0.01564660291422
"ADGRG2",195.578600293079,0.600099982775745,0.192575560595209,3.11617933719609,0.00183210815410029,0.00508678762307222
"ADGRG3",279.914214693588,0.42013804381424,0.13003006582874,3.23108383539232,0.00123321763064837,0.00359239002821318
"ADGRL1",1030.99705269132,0.594588221550221,0.172830641009492,3.44029402470112,0.00058108254506447,0.00184794719286268
"ADH4",146.952660153404,2.07259971339452,0.360468579227469,5.74973751619731,8.93821054043166e-09,7.59920115792962e-08
"ADHFE1",153.787364658654,1.04960518970314,0.178006252313742,5.89645125415696,3.71402408843276e-09,3.39500858455442e-08
"ADIPOR1",2306.79271317666,0.757102566488947,0.177302570703316,4.27011612683171,1.95371215907381e-05,8.89884376971682e-05
"ADIRF",683.255816278864,1.27020555770516,0.227062082695077,5.59408925800669,2.2178284297847e-08,1.76247959413327e-07
"ADNP2",775.983001338709,0.539151079180208,0.149361534706205,3.60970500363912,0.000306545425425952,0.00104794242858184
"ADPRS",727.769914905012,0.340753765611681,0.144034082881998,2.36578564457448,0.0179918580881389,0.0372386591532081
"ADSL",762.459814472734,0.38900766631531,0.145048824242659,2.68190844252912,0.00732034915862123,0.0170431556060763
"ADSS1",203.558120761249,2.91061455824509,0.367388992968433,7.92243266388545,2.32908226369812e-15,5.45926984784486e-14
"ADSS2",914.413611925327,0.516471640633634,0.127844468521316,4.03984346454163,5.34868875903266e-05,0.000221346674318702
"ADTRP",15.7260652935201,2.89496693316844,0.620956713892784,4.66210746803889,3.12987667470158e-06,1.69040157002702e-05
"AEN",796.328425220816,0.464994699272349,0.174782813503401,2.66041431621251,0.00780445819668385,0.0180346539894567
"AFAP1L1",261.576584009403,0.53655802015995,0.221091248172804,2.42686232311004,0.0152300342196542,0.0322701205254378
"AFF1",2553.74743057339,0.674547445663633,0.173964394221199,3.87750291479723,0.000105534063648245,0.000404841604736259
"AFG2B",170.661012222857,0.647070080554068,0.171869260618557,3.76489709809226,0.000166617684201172,0.000607980592547173
"AFG3L2",1573.56917015191,0.378891603028914,0.125414050275676,3.02112564099526,0.00251836838075665,0.00673574813158885
"AGBL1",8.58165260269177,6.5029125689059,1.06385280422231,6.11260556262728,9.80174275245045e-10,9.90840547426978e-09
"AGBL2",82.7020810985814,0.684385589943285,0.302795402496636,2.26022450902599,0.0238073204738242,0.0473144022478322
"AGBL3",614.922201970584,1.17752244971679,0.2125959915413,5.53878011142102,3.04585779230596e-08,2.37453136193464e-07
"AGBL5",377.839469062534,0.775716038232523,0.1250812744448,6.20169599067249,5.58579006513266e-10,5.90708176450518e-09
"AGGF1",740.20426437695,0.711743751341081,0.097473652103411,7.30190914141581,2.83712841909223e-13,4.81030899106416e-12
"AGMO",549.66798538978,0.820258025379587,0.188692432766536,4.34706370230792,1.37972157392956e-05,6.51822424514367e-05
"AGR2",9.15253444627038,2.54756826692001,0.797650804906891,3.19383902234936,0.00140394380993696,0.00402070554038413
"AGTPBP1",340.997203584896,0.392921063756916,0.11409667081793,3.44375572871816,0.000573693764757231,0.00182675355366501
"AHCTF1",2507.62201343049,1.15817462374594,0.143176664019968,8.089129829037,6.00924915242039e-16,1.51953076705186e-14
"AHDC1",1289.66641247994,0.751756614325815,0.122722256764768,6.12567462613378,9.03001715219999e-10,9.19145344500172e-09
"AHI1",449.373030342479,0.878041753077169,0.175201728771646,5.01160439016895,5.39780877932704e-07,3.38848449136965e-06
"AHR",1024.12986473574,0.739418714248028,0.260884298394638,2.83427833257145,0.0045929309646924,0.0113919662066921
"AHRR",635.777690650691,2.21947093620095,0.306127859866875,7.2501435745382,4.1633007183754e-13,6.88680952945885e-12
"AIFM3",120.524023873726,1.84128054860841,0.24943350416033,7.38184934219935,1.56105783957193e-13,2.7663324165105e-12
"AIRIM",405.432120099157,0.698044937776583,0.126696224971555,5.50959539586362,3.59659437359884e-08,2.76359994314408e-07
"AJAP1",9.87300200920178,3.0837182552921,0.820962779940912,3.75622175650161,0.000172497857508953,0.000626974296753095
"AJUBA",4309.51001742858,0.817094041913532,0.209818946663683,3.89428149795855,9.84902237938488e-05,0.000380633336974257
"AK3",2959.80924241988,1.50781745243143,0.192288675040765,7.84142618961714,4.45457740334146e-15,1.00541293054957e-13
"AK4",1567.25392386044,0.487506779651215,0.1537769977707,3.17021912716845,0.00152324017896848,0.00431821220025596
"AK7",88.634050805934,3.51521825188018,0.485159055665843,7.2454965249609,4.30857826172619e-13,7.11378917862182e-12
"AKAP11",853.555058445084,0.268833837876757,0.114890052877686,2.33992265773402,0.019287733676995,0.0394988336373584
"AKAP13",3197.44662449816,0.579756629682805,0.126521549768629,4.58227575257344,4.59942824916888e-06,2.3883468254731e-05
"AKAP7",124.159431149128,1.00974774605139,0.206576995368151,4.88799706013667,1.0186705134424e-06,6.03745284159112e-06
"AKIP1",516.505999483836,0.414277634660884,0.146128039195331,2.83503177721501,0.00458211276661497,0.0113667308968031
"AKNA",127.269953134248,0.441156321397386,0.195191041270363,2.26012586707979,0.0238134401507037,0.0473212360571854
"AKNAD1",108.467204466811,1.15237703641193,0.313348213202389,3.67762440587979,0.000235416265539302,0.000827530841320066
"AKTIP",1311.59678848549,0.490678930642086,0.146175808871871,3.35677246754411,0.0007885797898145,0.00242523667716082
"ALDH3A1",31.9327684681629,1.00777152923353,0.31358428892055,3.21371817670642,0.00131028209937717,0.00378688047388357
"ALDH3A2",5840.90338142696,0.652329935247091,0.254857746845197,2.55958448711909,0.0104797379143892,0.0233810357968612
