"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PADI3",2014.54496656004,-9.23053192379698,0.534777125282486,-17.2605212291403,9.32652611804839e-67,5.4871061994518e-64
"LMO7",2960.33537790282,2.5686552398192,0.149072485805142,17.2309143833342,1.55670940257192e-66,8.86320030819172e-64
"KRT36",936.649802878004,-5.95532834396463,0.349979693532278,-17.0162110945885,6.22721315287658e-65,3.43469725463349e-62
"SERPINF1",2063.5934717834,-4.78445447108959,0.284126606541339,-16.8391638126768,1.2600446296885e-63,6.73932961030362e-61
"SLC27A6",293.286580924286,-3.91246922688188,0.232641179415588,-16.8176125856579,1.81319650730106e-63,9.41262304525402e-61
"LOC130544362",307.864454384007,-4.48566836443347,0.267491850136868,-16.7693646073265,4.0885737146643e-63,2.06180931610928e-60
"KRT27",3963.05047283265,-8.52813155369662,0.510482550799791,-16.7060197069132,1.18485044060133e-62,5.80905841017041e-60
"BAMBI",1077.54093765669,-6.58308147274053,0.399265542525916,-16.4879779784984,4.47682315932582e-61,2.13556564221894e-58
"S100A3",2734.33379642496,-9.107622511478,0.556364374367613,-16.3698880285606,3.13790730944226e-60,1.45747536872779e-57
"LOC113252263",3004.54342117169,-8.45958344617658,0.517302653119664,-16.3532574116137,4.12335912288933e-60,1.86608432099992e-57
"NT5DC2",1360.78212440838,-2.05363387121514,0.126501903791521,-16.2340155338657,2.89860934806844e-59,1.2790113748352e-56
"CLN6",1252.84931924814,1.73391146560774,0.107186171501305,16.1766339941213,7.37157963672476e-59,3.17337513629736e-56
"TTC12",522.035013400363,2.82748675620869,0.175578793289819,16.1038056090378,2.39885444478681e-58,1.00809002263065e-55
"ATP6V1B1",713.771063125976,4.23701146652986,0.263335361752447,16.0897930241246,3.00841391905932e-58,1.23484896910226e-55
"GJB2",3088.25897551827,-4.9107126535972,0.306085160374176,-16.0436155989858,6.33559858906934e-58,2.54143897947895e-55
"PCCB",394.575178889737,-2.65608614635909,0.165863266594841,-16.0137093697015,1.02511787779141e-57,4.02074012067074e-55
"PTPRU",1041.02039650244,2.17005897982065,0.136378757002383,15.9120014547627,5.2313995907039e-57,2.00726527773747e-54
"MRC2",2333.05409873301,-2.32614513694297,0.147656144360373,-15.7537984417751,6.46769756025245e-56,2.42882684975438e-53
"HUNK",202.20567028824,-3.621724413777,0.230010806295746,-15.7458880828417,7.32948588095015e-56,2.69511303747438e-53
"HSD17B14",2155.85121603562,-3.45542588020195,0.221829324242187,-15.5769571584207,1.04407791040828e-54,3.76081124871553e-52
