"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"AASDHPPT",9.49887440390809,9.1995291850641,9.33831751269873,9.27611602487442,9.40539292589833,9.33622078425905,9.1933266835139,9.08571416777775,9.19212767478364,9.25957550800532
"AASS",8.29169322334527,8.75995120961739,8.20911457844413,9.10935045923318,7.84952114717639,8.92049351857666,7.95754517408076,7.96177631437584,7.91553500359802,8.63690101724434
"AATF",9.10280178567911,9.2660947376196,9.10138036731507,9.54881397119201,9.04968812282631,9.22554786184051,9.06417682116149,9.25406585809532,9.05732489928868,9.1816356516951
"AATK",7.35704598492489,7.62169489348444,7.51936525861518,7.49325518440346,7.93039980249475,8.11038807228314,7.82770270121877,8.0707240397693,8.09419140413695,7.99514574590844
"ABAT",7.93979349427466,8.34602718579599,8.19090968432482,8.53961759890307,7.82406830322242,7.89160750202402,7.84208543326198,8.34494653540541,7.66348352991311,7.93132225580684
"ABCA12",9.84419209160842,9.17476751565332,8.98398722902165,8.57832204495494,8.80676516857885,8.56832308835885,9.44667177228184,9.48728492730008,8.62713377775145,8.5807646026213
"ABCA13",2.47442263156265,2.57018936633461,2.57964002397951,2.63664373394464,2.56506094198871,2.62173409233013,2.71630135199225,2.79986848466164,2.51119635805928,2.92359608826051
"ABCA2",10.9668347945964,11.686607388536,11.4247657179231,11.8801975607749,11.2377305904606,11.6087456310612,11.2790201438544,11.5634529616879,11.1812064342908,11.5595062715859
"ABCA3",8.83220791207962,8.15337652972235,8.99211331356669,8.16540857284941,9.04912933482199,8.69128193846367,8.98011851344442,8.17638090240588,8.44166215778895,8.61024617796993
"ABCA4",8.25104410889219,7.78408868486551,7.73597114151662,7.04026619911626,7.90703445458247,7.07201207503607,8.52652856349337,8.42375101086105,7.80324337544239,7.27736361165122
"ABCA5",9.0850372588386,10.5215924451132,8.50198921159995,10.5652617453853,8.90581295717246,10.156756975792,8.48219279756518,9.73530055471869,8.71286580328024,10.1620250352325
"ABCA6",8.09495370763917,7.3169960062549,7.62012639281542,7.59302937138423,8.08080521168178,7.47236467646952,8.12159439984535,7.89653911463407,8.26217022825618,7.99025684939184
"ABCA7",8.82612217852195,8.52939830797975,9.22146382495256,8.68882476070872,9.11673444481602,8.50053611555643,9.11514258058704,8.68474681166479,8.90316126215838,8.81002214034817
"ABCA9",9.32114485717394,9.25964246293187,8.96959821043735,9.15110598139498,9.8513803086553,9.42050543337487,9.69004820869334,9.66780813415851,9.79128179710314,9.87699521218009
"ABCB1",7.59111516586164,7.91449846707799,7.67417277269569,7.95627085594897,8.01887784008379,7.9963542878885,7.42196176476035,7.99911812831536,7.40996663293499,7.86968004863349
"ABCB10",9.35742712912766,9.53774139490573,9.20920204040099,9.59931679712455,9.29453226475324,9.66444879909991,9.31031884144658,9.49707291906795,9.24974818449374,9.60280327002345
"ABCB4",6.29990968030037,7.32779380879138,6.29191323902478,7.2436418587354,6.22950299296586,6.94372624572247,6.24814728371313,7.16434601257875,6.19730994381305,6.85241582367745
"ABCB6",10.4405333401231,10.7890564795625,10.535013564914,10.7303299269026,10.3834922419669,10.8622373928057,10.4813978392428,10.4509467614854,10.4361218287506,10.6299391414126
"ABCB7",8.55036120170159,8.5299229157355,8.47234067861681,8.64169647596565,8.499424058892,8.48118305719156,8.68002642217326,8.74553061526875,8.5879981945951,8.35511255055391
"ABCB8",9.15494462456721,8.90731319413821,9.30251372048842,8.8056634989285,9.31934812371893,8.36843855843277,9.20697581607911,8.88591413532062,9.15962361754748,8.36435251261004
"ABCB9",5.17365410576223,4.72390759853897,5.13718812999835,4.82158935262092,5.1317599019009,5.10952916441899,4.76901568603517,4.74351593957435,4.97737949060545,5.32239141977021
"ABCC1",10.1008394575562,10.2770116354664,10.2287223720746,10.6246510304249,10.1921131925716,10.6163184163115,10.2823292185945,9.94421685768218,10.1521753072076,10.4484575802459
"ABCC10",8.67170192737236,9.48326126945239,9.08056372852661,9.46194472456059,8.89334611460563,9.06375695754698,8.74802112035319,9.07651129462379,8.90285884502708,9.19647984300568
"ABCC11",7.64856949058252,7.45028818490018,8.64822393068542,7.57644679291238,8.20921938994551,7.86401273945489,8.26650293504179,7.81308807017189,7.66003483655479,7.1786475738244
"ABCC12",2.72113956753719,3.31243677111966,2.82229387977854,2.74960480347278,2.73956286794804,2.67121405908037,2.74588662398574,2.85634294494247,2.72066185436929,3.1344421474227
"ABCC2",6.40160972710073,6.80107483035431,6.64706552289424,6.80563095132904,6.36879421892062,7.04011007456577,6.45818132158984,6.76473838271143,6.68574823099158,6.9463342088816
"ABCC3",6.75941817346368,7.1772743354472,6.83924359034247,7.51905005498238,6.70567456497389,7.70065279317173,6.58740728722438,7.56276623503995,6.77489626123089,8.05140114781192
"ABCC4",7.14087066082036,7.23509562173052,7.46125040240539,7.52121634365948,7.2893729182307,7.48228037868017,7.10704808731645,7.50298225204785,7.13109716209484,7.43751350603825
"ABCC5",9.28284773081858,8.45203823295036,9.63069100697712,8.16971897531274,9.37780180946919,8.03560926504853,9.43395371925503,8.84361413562823,9.30235304492744,8.18665944905477
"ABCC6",4.6708595117366,4.65383735196973,4.68616411390066,4.49163649672077,4.96210711586946,4.22099172217912,4.95971571315468,4.64839629273758,5.25977214999777,4.69798059061412
"ABCC8",3.28587630297704,3.49932312648685,3.45712008608995,3.38494123553681,3.37219038189864,3.99090355258639,3.72384454987611,3.92648447766079,3.42685244147434,3.75825558777525
"ABCC9",8.21967735158839,8.00143158754286,8.50300125764485,8.34317441338387,8.61196810981867,7.87679891215781,8.6622957292935,8.59153168449152,8.6200361991329,8.17362663716928
"ABCD2",4.14443980399023,3.54249007765164,3.45624160344332,3.33632682725553,4.17650274347435,3.46799589057695,3.76332746034589,3.58794498291531,4.10719755400127,3.61227978652737
"ABCD3",10.4645637330956,10.3455530454761,10.3697593797781,10.4452694760953,10.2934748462061,10.3146005820756,10.3757734371413,10.4744187349448,10.3686178443431,10.3863520409301
"ABCD4",8.80498163162169,9.00631314798619,9.23099966619092,9.22803297645665,9.04745101073066,8.67726586351546,8.96191236099813,9.07874469274097,8.88916591876008,9.02726762925843
"ABCE1",10.8159761263983,10.6806640570205,10.7850819948768,10.8780031768391,10.8579296955628,10.9662550575728,10.6270711371193,10.7095502142415,10.6605554812436,10.9827466050439
"ABCF1",10.8966445393944,10.8070367188695,11.0877827172622,10.8586516994087,10.9901744438421,10.8592194893706,10.8706975552617,10.6294792711749,10.8614870402096,10.9138601831213
"ABCF2",9.80421456479651,9.24567009475481,9.97277895721263,9.28569922554182,9.89636265008078,9.66690213923569,9.70711612126955,9.45270461056282,9.64237322729094,9.63785405800376
"ABCF3",10.5992161082401,11.2417109203758,10.7125443836731,11.3380757832283,10.7646287861805,11.3528325310469,10.6091099822121,10.9762931396127,10.6287815365465,11.4054125366267
"ABCG1",9.63741375242922,9.74816607785552,9.45998326914819,10.0683404504157,9.21542390987265,10.132768402343,9.16212068743866,9.61484992746763,9.05701950872285,10.0359043489569
"ABCG2",6.47214152648459,6.37577824167871,6.55323935448393,6.67441711662509,6.5214650455958,6.67152744233879,6.63976770120062,6.60120609196609,6.63356932732278,6.4935286508983
"ABCG4",6.46436780681094,6.60876470836954,6.82468159968881,6.86340386137794,6.71076526153519,7.22891527450915,6.66165540058156,6.82133874699224,6.45123264551408,6.95488028976025
"ABCG5",7.28360356474809,8.32223940857773,7.04834417302,7.98366490543763,8.12535673935007,9.01520252864891,5.80954992191619,8.22210348929774,7.88425199850058,5.87779511739152
"ABCG8",4.83523152514391,5.4366391307315,4.56140740354706,5.35848365516349,4.8633626042207,6.0401678073514,4.30003526151652,5.00562585545551,4.70831714144791,5.59011838044187
"ABHD10",7.62682618127333,7.88433374253522,7.33168885712724,8.01729395351353,7.60902084504192,8.01150249061094,7.60120844935035,7.89456951687847,7.62357565229206,8.01830795371012
"ABHD11",7.83313918895746,7.77048956596979,7.83507912662655,7.61087813599546,7.96899688422784,7.75886819538163,7.66229818865359,7.89749007054152,7.84585888150767,7.6939061816597
"ABHD12B",5.83843286040305,5.6415657176683,5.21696878584357,5.16318084639286,5.13064163080802,5.40680060553088,5.68645928240341,5.65756586545557,5.12961403546782,5.24535396003159
"ABHD13",10.0810363045531,9.43219278546113,9.85801142531765,9.44341190032341,10.0133274196778,9.22686854761078,9.97233006164682,9.39677918272541,10.0086460426231,9.3203713250506
"ABHD14A",8.45641047049712,8.4311278486438,8.67449261244468,8.23796165702932,8.43666241431066,7.80874653346583,8.48238348867102,8.75243716255434,8.66368700163476,8.43209225080906
"ABHD14B",10.9076155343179,10.981205483234,10.966708529033,11.0035370282758,10.7254725155234,10.7346405550694,10.6727076800833,11.0138094602787,10.6361060825646,10.8219759803977
"ABHD15",8.49064397921327,8.01586342214044,8.54522406670054,7.95652097855561,8.53669510674425,8.30651778888659,8.50495258245468,8.12124631146684,8.33716385884908,8.37094718927884
"ABHD16A",10.8922189608262,11.1698853136853,10.9683314304313,10.9696015730647,10.8841225078467,11.1294051404416,10.8808790152,10.8884097767555,10.7856683828718,11.1426544525053
"ABHD17B",7.68293911487373,6.80328234404876,7.4236155538208,6.90749673777702,7.39655288395544,7.19024067406902,7.5014261981803,6.97882437836724,7.44982541483657,7.17488460217171
"ABHD17C",9.38978385518321,9.12920719476678,9.18580499620218,9.34469932154925,9.2005879425172,9.09568606155788,9.22123768466519,9.12446235010511,8.83724458743388,9.09911583002583
"ABHD18",8.44380330346301,9.264426140208,8.08875697089908,9.35749054799521,8.24010353858656,9.17509417748712,8.01464742077443,9.22155748733914,8.02468778048206,9.3960176109383
"ABHD2",11.0029781010408,10.9348105179705,10.806070878892,10.7458563265078,10.6291561991353,10.9833905298942,10.8510844320658,11.0767574636837,10.5686584277697,11.0386716515621
"ABHD3",5.94470150798772,5.52468967248481,5.85042675598986,5.41613240108578,5.84112765749013,5.74601787599119,5.83997353731205,5.71190208636937,5.56998365931807,5.65742313354263
"ABHD4",10.3038417311842,10.2894379144501,10.1368368455292,10.3292850096191,10.0807277368715,10.228573833093,10.1614404814163,10.1729761390003,10.0482554966805,10.3222721122374
"ABHD5",9.38849038596959,7.87973283668378,8.80628666108866,7.91001308100803,8.68496353924463,8.04802639843057,8.92551873902116,8.21801960729445,8.69000279943744,8.15079776169577
"ABHD6",8.16394820136977,6.77138521822798,8.08013983538599,6.48784819891924,7.99180628081661,7.17474346218723,7.97268218458094,7.0127187443581,7.61220791649008,6.98944440418826
"ABHD8",8.61907555856927,8.61192551562251,8.33445379646327,8.49314553651253,8.45002487523545,8.51668618725818,8.69894485648852,8.36110596242399,8.50863479231278,8.484494287953
"ABI1",10.8336718731798,10.9241980289658,10.5757797175064,11.0732068019857,10.6675309292414,11.0410832717624,10.8068661225404,11.1954202423659,10.804810941683,11.0199884258608
"ABI2",9.24682886600556,8.36640005904034,9.22031185752417,8.28538468500621,9.35859272175147,8.513097786194,9.21649585336623,8.55906010166892,9.42973152885626,8.63533615062189
"ABI3",5.0870418834071,5.17873917113702,5.04694475691071,4.88037505224385,5.38850402083076,4.80256064753231,4.9615872639666,5.28809913627145,5.06815612237725,4.81692000588153
"ABI3BP",10.8884996669842,9.5614517225497,10.9646554551676,9.92733108745488,10.9926695451374,9.5219156872554,11.1908932216018,10.1223696711432,11.3909175174325,9.47417263279425
"ABITRAM",7.42323042398509,7.31362822085737,7.56368143492124,6.92134927800009,7.45180747273084,6.97331091511941,7.40782609441055,7.27872582636638,7.52111884830257,7.1335418005017
"ABL1",10.9968115760075,11.5948472708965,10.9922821162397,11.9131585392078,10.9671559443451,12.0228605385841,11.017077579386,11.3622014407162,11.1388642659928,12.0530558534309
"ABL2",9.67610131513073,9.9204619300604,9.89114152294018,9.82322154604847,9.80548100095638,9.86143217162268,10.0714177504667,10.0652284696613,10.004336570815,10.1321790207723
"ABLIM1",12.6395011948488,12.7876206598241,12.4023296663871,12.6823305372857,12.4726686951809,12.5284128138367,12.6155354460336,12.6033596263755,12.6608076433709,12.6640484446495
"ABLIM2",7.44415692285933,7.18038257310135,7.67298395424442,7.44753448444714,7.90355541074969,8.09781312883312,7.8756362982601,7.73520796671694,7.49653583197947,8.04552884847203
"ABLIM3",10.0186467382319,11.063892107678,9.82715359945862,10.4643546569584,10.2068225760513,10.7067726172402,10.1143135155324,11.0116346558727,9.91112462923798,10.5858524378349
"ABR",11.3697171255094,11.7603210946479,11.2182611802102,11.7402169557955,11.2703229268539,11.8227603572125,11.2512598321131,11.7218674809826,11.2711606187072,11.7471475763023
"ABRACL",5.89902853983522,5.14727727184535,5.85090516909166,5.03751299183685,6.05396681241559,5.15761558957645,5.56984826014094,5.0816087326899,5.8044978999913,5.11448433163011
"ABRAXAS1",7.77107364852233,7.94504162149974,7.81338654258462,7.97625478021688,7.77716415911224,7.95501129025648,7.79146416287852,8.2494411431825,7.74521230301158,7.9798461475713
"ABRAXAS2",8.6045322039667,8.85139308920492,8.64307149967751,8.99453598727612,8.70079654053487,8.94399930508182,8.68365748420814,8.76776877364481,8.55021543234841,9.04966698707321
"ABT1",9.12535844194482,8.88769856785581,9.2026596585764,8.91240192894458,9.24415658549554,8.80823453875615,9.18526386112178,8.77477845846351,9.12864758621754,8.59350171174522
"ABTB1",9.00150094187086,9.06595127009061,8.68183908600182,8.94322073672759,8.62452218575796,8.82794491578126,8.6577082670192,8.97185586178188,8.45201389487671,8.82056688927664
"ABTB2",8.51721307886466,8.21371846479502,8.61636952054683,8.38346252905529,8.33374810732003,8.24769316907997,8.32084818961712,8.52395394934881,8.33509320547291,8.28505546405796
"ABTB3",9.15215035026327,9.48303228719969,9.09301070790584,9.70345778681526,8.8276920859146,9.76069062673696,9.00378949692868,9.12860882927315,8.95975239586431,9.46184980788092
"ACAA1",10.9474821258901,10.1790929444221,10.5730683754172,10.2782766623369,10.5897518737312,10.0974413679145,10.2767529916242,10.1247081998207,10.2480886364075,9.99343688478411
