"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD5",398.878965245903,-1.38587196403814,0.222324119599466,-6.23356551027796,4.55936557596717e-10,4.88305839901824e-09
"ABHD6",204.026498147388,-1.79191067735774,0.250929216822211,-7.14110018773681,9.25868339953002e-13,1.47620381212019e-11
"ABI2",514.844767790775,-1.26606536543392,0.142684060357375,-8.87320813735504,7.10683312604793e-19,2.45952166028913e-17
"ABI3BP",1692.84408742847,-2.01098350307454,0.227546468261415,-8.83768277503759,9.77242849852594e-19,3.34919151454335e-17
"ABITRAM",161.374262853501,-0.583335603267214,0.176850822965575,-3.2984613443431,0.000972162644139537,0.00292249742884277
"ABRACL",49.9373161784602,-1.75426483206005,0.261399895302693,-6.71103877080237,1.93243750239456e-11,2.60164164128635e-10
"ABT1",518.004910485013,-0.582932076448836,0.123034717270104,-4.73794786856053,2.15893330310422e-06,1.20585989872751e-05
"ACAA1",1338.36438925969,-0.624603172313958,0.195681080711702,-3.19194461744715,0.0014131842634678,0.00404257735011452
"ACACA",2424.69280626532,-1.56922121206285,0.185719168183314,-8.44943054296877,2.92727086324304e-17,8.53988937789086e-16
"ACAD8",347.910976489243,-0.658504632862205,0.169510325400753,-3.88474643833867,0.000102436741056416,0.000394463915212013
"ACAD9",2031.80464331184,-0.729313237259091,0.149122776203665,-4.89068977808615,1.00483224729356e-06,5.96144173604413e-06
"ACADL",194.001642790669,-1.38710430399319,0.27663644546785,-5.01417772935632,5.32607391245475e-07,3.34895634324283e-06
"ACAN",178.188261689605,-1.01434478838087,0.221471807750546,-4.58001764957539,4.64936693565945e-06,2.41285875961157e-05
"ACAP3",927.543442791238,-0.672958331256818,0.154206563409549,-4.36400576199564,1.27702211053841e-05,6.06714407833189e-05
"ACAT2",1043.3635698626,-0.851669140177245,0.149405580053021,-5.70038374654418,1.19538029146019e-08,9.93804151873407e-08
"ACER1",266.137191043559,-1.17265049246784,0.305436920642677,-3.83925587646851,0.000123407766275493,0.000467313253542684
"ACER3",1415.06548692133,-0.444061536857413,0.151675485158474,-2.92770803662469,0.00341470532493101,0.00877669273118281
"ACKR1",315.740374572921,-1.14627887630858,0.378886738386179,-3.02538663979376,0.00248315469412995,0.00665467360330907
"ACLY",3678.63465813895,-1.19167611380345,0.140177308244405,-8.50120557120215,1.87631755343018e-17,5.56588316269626e-16
"ACO2",1766.72146231969,-1.72127757596783,0.149836974259068,-11.4876690782058,1.52162308821149e-30,1.47563997290839e-28
"ACOT7",368.986488484259,-1.29951555208524,0.222888152131556,-5.83034826955818,5.53118128610091e-09,4.8984119267276e-08
"ACOX2",15.6076816527856,-4.28316466071471,0.71304804270585,-6.00683881616322,1.89175413618801e-09,1.80776721731014e-08
"ACOXL",20.2774336981398,-1.93940848826608,0.647945834238023,-2.99316452978944,0.00276100860433772,0.00730830861826045
"ACP3",786.826946871815,-1.34159542579483,0.374306971804509,-3.58421169482121,0.000338097789219103,0.00114669984237455
"ACP5",286.352849162481,-1.15767276729805,0.202160049650244,-5.72651604162611,1.02514072724343e-08,8.62016857353335e-08
"ACP7",131.995901456928,-4.35269150288444,0.390640171051232,-11.1424574978327,7.79385487050817e-29,6.74321266982692e-27
"ACSF2",282.738538752694,-0.723197160733839,0.29416833030715,-2.45844669947552,0.0139539488152798,0.0299255402903631
"ACSL3",1010.2987692141,-0.336135268141926,0.140970066093796,-2.38444428279033,0.0171049379718259,0.0356226731802629
"ACSM5",108.369055729726,-1.4729192170909,0.311885971766608,-4.72262092696211,2.32824567240602e-06,1.29022091422186e-05
"ACTA2",2498.12771894115,-1.22941350442473,0.193795786062305,-6.34386087233847,2.24077205114599e-10,2.54665980056193e-09
"ACTB",19505.0432239383,-0.515045900303002,0.159148725028512,-3.23625527135532,0.00121109025690656,0.00353785882727586
"ACTBL2",91.6117342699074,-7.30022319736534,0.772848083707902,-9.44587086551471,3.52461052294265e-21,1.53225063374231e-19
"ACTC1",155.157793828443,-3.20293221960046,0.342045322789906,-9.36405793675417,7.67317260339332e-21,3.2399879533467e-19
"ACTG1",38425.1626451022,-1.30862806292875,0.171945007714089,-7.61073601569601,2.72539388432255e-14,5.39878810979719e-13
"ACTG2",709.32810729161,-0.852551938217537,0.287780086195144,-2.96251192877682,0.00305139985680284,0.00795961642448671
"ACTN1",6240.2396597611,-0.445752660100523,0.192618410834749,-2.31417473630255,0.0206581391804354,0.0419436508149873
"ACTN3",13.7769349339087,-1.92543093393862,0.445486092179276,-4.322089887295,1.54558193068952e-05,7.22444943767746e-05
"ACTN4",8428.98965513428,-0.301658646472834,0.0908232592764221,-3.32138098628162,0.000895731747026438,0.00271877305847234
"ACTR1A",2855.29459769485,-0.529118219847729,0.108632555359867,-4.87071502732231,1.11195116583851e-06,6.55071364387507e-06
"ACVR1",449.464723589189,-0.953608455206288,0.143407937444192,-6.64962115906163,2.93848373077507e-11,3.85607716343346e-10
"ACVR1C",79.6160382667095,-2.01568803945214,0.44070902902194,-4.57373892231237,4.79096773750254e-06,2.48196596909069e-05
"ACYP2",290.582255620474,-0.533858783252953,0.180315286264783,-2.96069620225659,0.00306944544705658,0.00799641507609573
"ADA2",31.1369090339083,-1.18634774842694,0.3607506607008,-3.28855322433041,0.00100703741652478,0.00301257803418005
"ADAL",319.840349951011,-0.669731242688857,0.151512934605176,-4.42029087770026,9.85681324679883e-06,4.80322346234123e-05
"ADAM10",983.68807926987,-0.777513384930615,0.221760954215219,-3.50608783986399,0.000454745119073409,0.00149270064192778
"ADAM12",85.2151941480011,-2.6209327362609,0.281660613169288,-9.30528662410326,1.33631417112568e-20,5.45970951860375e-19
"ADAM19",229.922696402244,-1.68073788000555,0.275696965957189,-6.0963234548854,1.08535692705678e-09,1.08767239161552e-08
"ADAM33",1128.33342544788,-0.693506303160613,0.234606833413042,-2.95603624613801,0.00311620467444299,0.00809558937531147
"ADAMTS1",2640.73616755936,-1.35058326547188,0.368159178509228,-3.66847642082628,0.000244000192139184,0.00085482401573176
"ADAMTS12",498.107410963101,-1.48671766426727,0.256002628137357,-5.80743125601657,6.34385847631986e-09,5.54302485678443e-08
"ADAMTS13",80.4515512665675,-1.16007459567133,0.322633422058039,-3.59564296926014,0.000323591352010079,0.00109961250731188
"ADAMTS16",31.0309135130835,-0.895607611072201,0.38683113761096,-2.31524177863087,0.0205997040290283,0.0418490764401876
"ADAMTS17",471.269232387998,-1.70758919665445,0.127257380204882,-13.4183903040064,4.71851096248338e-41,9.05236070519909e-39
"ADAMTS18",185.899180125041,-3.04273739993007,0.376581088283927,-8.0798996407275,6.48200959242418e-16,1.62050239810605e-14
"ADAMTS19",18.0698133882465,-1.82468991996435,0.535160911887867,-3.4096098564588,0.000650558710499018,0.00203985809918416
"ADAMTS2",2480.08638680896,-1.47158398959576,0.230466718020195,-6.38523428561519,1.71135256830555e-10,1.99243884106814e-09
"ADAMTS4",178.288544536348,-2.18779648640017,0.415017937520327,-5.27157090961403,1.35261009709506e-07,9.43992416517511e-07
"ADAMTS5",307.576324675276,-1.93158797461832,0.290827143112478,-6.64170460138679,3.10075935936046e-11,4.04795877904676e-10
"ADAMTS6",271.321944833145,-1.51292293310157,0.375655265912542,-4.02742373230513,5.63913507670671e-05,0.000232168728957017
"ADAMTS7",167.691167207485,-2.15443501713391,0.248842314945291,-8.65783224049966,4.80820462515909e-18,1.50203206431961e-16
"ADAMTS8",141.737002208222,-4.35813205684401,0.388308546314025,-11.2233740364797,3.13092453515695e-29,2.76304090227601e-27
"ADAMTS9",632.508945759879,-1.25143836001202,0.521312354817347,-2.40055381087311,0.0163702836589213,0.0343398510316093
"ADAMTSL2",55.0796421508126,-2.04681300870972,0.2810391843846,-7.28301647043164,3.26437355373506e-13,5.46643199463223e-12
"ADCK2",735.747358674889,-0.479131860704599,0.1344250149194,-3.56430580269515,0.000364820433348809,0.00122695896505459
"ADCYAP1",7.67465821859741,-1.48698370518086,0.591437827484165,-2.51418430827486,0.011930806455138,0.026145857205511
"ADCYAP1R1",143.20298001879,-1.00609940228024,0.293402947983222,-3.42907052978135,0.000605652116992755,0.0019174457156811
"ADD1",3415.36607144333,-0.216374032933272,0.0691391098110964,-3.12954612121062,0.00175076586078694,0.00488862797704311
"ADGRB1",200.689034395551,-0.591627253981883,0.215187573412474,-2.74935603668826,0.00597124868691559,0.0143215843625574
"ADGRB2",82.9527102584974,-0.802514677209655,0.291531814128959,-2.75275163229583,0.00590967111795028,0.0141893205321483
"ADGRG1",3579.79373615878,-1.04442686045595,0.127886101188516,-8.1668519936843,3.16540857780314e-16,8.20403251075263e-15
"ADGRL2",1367.04773491507,-1.2685800727577,0.169232195632024,-7.49609179281751,6.57487552901022e-14,1.2345377987982e-12
"ADGRL3",427.275534773019,-0.917416641292827,0.301121277770816,-3.04666826630257,0.00231392926297874,0.00625146969104159
"ADI1",731.95496529202,-1.44304147258167,0.183463941018201,-7.8655318564126,3.67532559635916e-15,8.43556525042123e-14
"ADK",827.551609057836,-1.37629707351266,0.121279545863716,-11.3481384161781,7.57584631435357e-30,6.92817033411091e-28
"ADNP",2331.85455645163,-0.351331296182603,0.123216816775615,-2.85132586100157,0.00435373263797454,0.010876628600177
"ADPGK",1129.64009876695,-1.04337412510753,0.170709844523901,-6.11197396387671,9.84062415807652e-10,9.94201582083861e-09
"ADPRM",57.7814058733878,-0.643765163884952,0.228527770541587,-2.81701065196275,0.0048472918019677,0.0119456437174993
"ADRA2A",340.508406254075,-1.15553025544835,0.168775594133801,-6.84654829022419,7.5653116076598e-12,1.07944826091508e-10
"ADRB1",19.2371479527948,-2.76260771301518,0.600828528415519,-4.59799690321066,4.26572334024002e-06,2.22949413548227e-05
"AEBP1",2613.63549712228,-2.04384946302141,0.274637276570071,-7.44199581552411,9.91753652166024e-14,1.81018117484285e-12
