"","logFC","logCPM","F","PValue","FDR"
"LOC113262597",-6.27684155077002,2.87792344464394,230.697513459231,4.37113670887677e-10,2.3494620565255e-07
"LMO7",2.56244110644197,7.50539608276772,306.719150120138,4.47625734060107e-10,2.3494620565255e-07
"TNMD",-4.09835385130592,5.08936139599767,306.646464887441,4.50223281686425e-10,2.3494620565255e-07
"SLC39A10",-3.6214430346354,6.69919113811068,303.800168351293,4.73952152740211e-10,2.39834151472993e-07
"NT5DC2",-2.05837336664866,6.38796208068423,299.070862523471,5.20004628845784e-10,2.55398744032228e-07
"GJB6",-5.56913315920481,6.17945534842354,294.000020761071,5.79242974472563e-10,2.75692314446971e-07
"TCHH",-7.53997398934234,9.03339172519837,292.275376279906,5.97147223066554e-10,2.75692314446971e-07
"CLN6",1.72918777733319,6.26639728396756,291.058233991972,6.10851885414571e-10,2.75692314446971e-07
"LOC130544362",-4.49672141240249,4.24688851599763,287.893001283015,6.67168096217278e-10,2.86273407043398e-07
"SLC27A6",-3.91196050092989,4.18035278769891,286.955508701748,6.71839483258997e-10,2.86273407043398e-07
"TTC12",2.8208189237251,5.00678838284792,284.18429728028,7.04715045183295e-10,2.86273407043398e-07
"LOC130544029",4.85094704685558,1.32688397443551,186.18849115368,7.16024685552961e-10,2.86273407043398e-07
"LOC113266558",7.13401488031334,3.45635919015197,181.247496661023,7.20012162154784e-10,2.86273407043398e-07
"LOC123000483",6.45155027149833,3.31843228709966,226.828398184293,7.57048373143035e-10,2.88691991425583e-07
"PCCB",-2.65900979057527,4.60635412027836,278.431019521657,7.95493466776094e-10,2.88691991425583e-07
"LEF1",-4.21852146488854,5.96486460034639,277.461082178639,8.12160031607694e-10,2.88691991425583e-07
"HMCN1",-1.87694151346517,6.22045242183654,276.980286072616,8.19239226095828e-10,2.88691991425583e-07
"MRC2",-2.33114282389255,7.1648694889705,276.745795290505,8.23341622473126e-10,2.88691991425583e-07
"MARCKSL1",-2.54089688478449,5.73359265899233,275.46444927982,8.46564487177517e-10,2.88691991425583e-07
"PTPRU",2.16353001636844,5.99991754526009,275.432122149824,8.47111059336103e-10,2.88691991425583e-07
"HUNK",-3.62031973401799,3.64955972805057,265.283600184193,1.07422781570965e-09,3.53151137718993e-07
"SCPEP1",-1.77680291789311,5.85091439717457,264.398749114795,1.0785500942373e-09,3.53151137718993e-07
"IFITM10",-2.37893567034714,5.24432495157345,258.63233632476,1.22889775586596e-09,3.90348051110299e-07
"MAGEL2",-5.11439713979816,0.362875099046159,115.7337906826,1.23890333007041e-09,3.90348051110299e-07
"HES4",-2.25544550829327,7.02008822270602,250.51787821249,1.48190846568181e-09,4.58266471637418e-07
"SHH",-6.92178811089428,1.442369269361,134.24212121865,1.5698343386438e-09,4.76630247654779e-07
"HSD17B14",-3.45751423419826,7.04962754852134,238.079468181787,2.00021292457002e-09,5.86472565107954e-07
