"","logFC","logCPM","F","PValue","FDR"
"YIF1B",-1.29962220417149,4.56763090258482,90.6513765811707,4.92175034719963e-07,1.66373095238637e-05
"ABI2",-1.2711649010725,4.98874592639717,90.5991584758738,4.93679596831198e-07,1.66544557322913e-05
"TYR",-5.68757549161183,2.47192449516778,79.096574702474,5.049221506026e-07,1.68323636016289e-05
"COL6A2",-2.13642189504642,9.00914551323734,90.2210228175511,5.05001147638545e-07,1.68323636016289e-05
"CERCAM",-1.78003100154854,5.65550201195501,90.0880432927697,5.09188211260697e-07,1.69381154180127e-05
"HSPB1",-2.91407246361141,9.13168339485388,90.0175957209319,5.11274535261111e-07,1.69737047004479e-05
"APEX1",-1.20264328329105,6.60921089178047,89.8130042655279,5.17677223518391e-07,1.71521665784397e-05
"LOC113261183",-1.65079163324725,3.85658250980617,89.7057488943043,5.21595182654329e-07,1.7234373307303e-05
"MSMO1",-1.46775982813239,5.75512467837683,89.6384024841158,5.2325452223502e-07,1.7234373307303e-05
"PDLIM3",-2.38415140356232,4.62627872269062,89.3135600683946,5.34101046929513e-07,1.75225017341374e-05
"THOC7",-1.22516228313777,5.15223559763614,88.8718430185886,5.48453071067485e-07,1.78941674348002e-05
"ALKBH7",-1.68734614022438,3.78065215051354,88.8242176802978,5.50548197339327e-07,1.79206855795197e-05
"PCSK5",-1.61805002945319,3.64484163888264,88.7948030279093,5.51603831838622e-07,1.79206855795197e-05
"KLK5",-2.33981927524334,6.40905864006331,88.7293390661215,5.53216784143315e-07,1.793704339908e-05
"DGAT2L6",-6.12507777244186,0.692322628819616,59.7081659153664,5.54255607756469e-07,1.793704339908e-05
"SAMD5",-4.2314714231336,3.59386414201526,89.0419996463328,5.57291358335444e-07,1.79831225901768e-05
"LOC113250242",-13.269918034054,9.29719166844166,64.1478013563017,5.58209493568034e-07,1.79831225901768e-05
"MSX1",-3.25283042855276,4.8516355758356,88.2097589870855,5.7187840868961e-07,1.82325037419002e-05
"E2F3",-1.85237931662833,4.20526335620896,88.1522609285869,5.73735203191407e-07,1.82325037419002e-05
"BRI3BP",-1.50549461159668,5.71626609999602,87.9674364335025,5.79930290315711e-07,1.83413937840569e-05
"PTCH2",-2.65034875244177,5.91909440138397,87.9220021409484,5.81583928499402e-07,1.83589225368838e-05
"KERA",-3.32061522809632,2.2619451826137,88.8281691007726,5.83541202275467e-07,1.83859519562227e-05
"LOC123001873",-4.23155006512901,0.656197970496153,68.0334501515109,5.87447143338028e-07,1.84153548213097e-05
"DPF1",-3.41485722172125,1.0906399697901,86.5669409080732,5.98752489285391e-07,1.86889118104238e-05
"EGR3",-3.33831712941944,6.04577543408806,87.1443511008659,6.1056126667786e-07,1.90219451348015e-05
"KRT38",-11.5521622051345,6.57801913117594,52.4872445028899,6.12536090137603e-07,1.90479332759922e-05
"LOC125283416",-11.7946951101319,6.60537129588448,53.440517874514,6.15353796060356e-07,1.90645510953838e-05
"PRICKLE1",-2.18312175074996,4.92387402213038,86.3981602905877,6.39847979497184e-07,1.96773874947025e-05
"KLK8",-2.74747933032874,3.97803370988888,86.3347104176884,6.43565406841947e-07,1.97404012419537e-05
"COL5A2",-1.44832018176764,8.3211238837471,86.1215362738141,6.50837986965833e-07,1.97966184778551e-05
"ZNF428",-1.41116715893902,2.83678458798932,85.8467191581126,6.64064230610912e-07,2.01621974308575e-05
"CTPS1",-1.68196099881967,5.87535076436934,85.6732488588517,6.69653780348364e-07,2.02216066510621e-05
"WNT2",-3.77107656226977,1.20625825431837,82.4907102565215,6.89416472003014e-07,2.07753251587181e-05
"NME2",-1.16732391236193,6.65240764346518,84.9372153046019,7.01729523845695e-07,2.10003249439055e-05
"CCT7",-1.02843719638056,7.38478986208326,84.9089455153809,7.02997642048129e-07,2.10006397577132e-05
"LGR5",-1.72151769901243,6.29254844084014,84.8339090946632,7.06388615068842e-07,2.10642562197046e-05
"LOC113268946",-2.75702913804517,3.45027487473,84.6232433114254,7.18979893730505e-07,2.13634257035689e-05
"NPTX2",-2.82961083058885,3.35387383075292,84.5320587936871,7.2387948374597e-07,2.14708055045719e-05
"SMAGP",-1.37328933244697,4.93152181439687,84.3600701338878,7.28345734958801e-07,2.15649741632571e-05
"AKIRIN2",-0.99202097838107,5.07192309226327,84.3150392718344,7.30445052680583e-07,2.1582348364379e-05
"SLC7A1",-1.64305438835128,7.09153082691169,84.236755847286,7.34001210979511e-07,2.16174360178957e-05
"SELENOW",-1.0102029884267,7.06086070931072,84.1871416701885,7.36350904116243e-07,2.16484573025302e-05
"RET",-2.18414927084065,5.10205529848982,84.1491674838242,7.38442631137025e-07,2.16717987651269e-05
