"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"AASS",4.21978616799103,4.95191069684835,4.1006911940093,5.46251627276724,3.50741177119106,5.18228644445892,3.69897240846984,3.69685677352741,3.629284594209,4.76539131927624
"AATF",5.02308931144881,5.28764303754788,5.03390142034517,5.70495642162328,4.95968490715101,5.21823607076226,4.98917768396688,5.27059596384646,4.98098150207967,5.15602438287217
"AATK",3.01325849203993,3.49038973015945,3.31319051030467,3.26557722009828,4.00008187169459,4.27081179628245,3.84207169810846,4.21823896617541,4.26770400232432,4.09539291657959
"ABAT",3.84107879570219,4.50007650539832,4.2584914623857,4.79050901793542,3.66898635996481,3.76622284457028,3.70238738169005,4.49746672008658,3.40411112207378,3.839191160386
"ABCA12",6.19354325086346,5.23973942803269,4.94838341483702,4.30469004843286,4.67865364256306,4.283593061982,5.65216237460828,5.70109601530278,4.40031047119776,4.30875884899998
"ABCA2",6.68250060244994,7.77541849187464,7.39174059642054,8.04926942181538,7.11822608270483,7.65527048319316,7.18756741177455,7.59833941614614,7.04205431389036,7.58819593731149
"ABCA3",4.91970032298992,3.85684107845352,5.16909291438947,3.86810637530413,5.26022230961908,4.71011186222377,5.16530863997211,3.89699911080307,4.34025514776891,4.59118748557314
"ABCA4",4.48628958825035,3.77277943767165,3.69269912220248,2.45974195983951,3.97342190262381,2.51937585954231,4.91899537243916,4.76073613715924,3.81724954747355,2.90707574662789
"ABCA5",4.8316297300804,6.94479896866487,3.86353031957474,7.00180904011297,4.56182275149009,6.43124045062869,3.84207169810846,5.83669341970688,4.24772459814706,6.44334472955218
"ABCA6",4.21473065095585,2.92481961656639,3.45679344525642,3.41010172354412,4.20876329652492,3.1922361452202,4.28397845038865,3.91639294378244,4.50079873525292,4.05900806909723
"ABCA7",4.78463998326764,4.32967080761071,5.39432226202044,4.58309183826158,5.2438518432077,4.27508481198902,5.24883852134719,4.57970060159822,4.93277501538153,4.7701408067358
"ABCA9",5.19016111376365,5.10978374545076,4.64335038196731,4.93518323769024,6.00371870368022,5.35066116127254,5.77441810629687,5.73113293587884,5.92532436007728,6.03420094903738
"ABCB1",3.43882484553658,3.98135981904928,3.58738754531484,4.0479882091967,4.15045635681827,4.10309404480008,3.16763962225361,4.11808659165199,3.14799385271174,3.90626682592444
"ABCB10",5.28184179977223,5.56999002410506,5.06505774038545,5.65926151322854,5.20399878992906,5.75036845913538,5.23534664954271,5.51007412289267,5.14388330461809,5.66381902202061
"ABCB4",1.9400454106743,3.76956998444166,1.93657073094533,3.62647945913669,1.815733230923,3.13226109033311,1.86017970299176,3.50764696197099,1.75153918976379,2.98154124650292
"ABCB6",6.33517907942177,6.86659912181245,6.49043370871387,6.77835411577306,6.26783278537692,6.96451249863356,6.42299891506133,6.36726776906637,6.35722720029363,6.63019713208197
"ABCB7",4.51536287099864,4.49813873879322,4.40515480747774,4.66984596113186,4.45410365614477,4.41203375841798,4.74281207358901,4.83395222949074,4.60262816469554,4.21486363283305
"ABCB8",5.2276608680903,4.86586421447997,5.45972470011285,4.70486885354687,5.49013193733955,3.98806920101827,5.33110852438987,4.83395222949074,5.263130527693,3.98595051518405
"ABCB9",1.48248775086574,0.317012620383192,1.41013836008817,0.58305698490096,1.40134373948798,1.33732382370056,0.436182209381653,0.349392913203103,1.03039753420733,1.81870286609892
"ABCC1",5.96575963694071,6.24897906648197,6.17445953766967,6.76181826838145,6.12495264800384,6.74411730084537,6.26800067379905,5.73269663524688,6.0734953113175,6.50053803749787
"ABCC10",4.41314346036485,5.67320982347641,5.07065093950328,5.63948469701845,4.78672812810761,5.03888513408326,4.56101474202694,5.06749201615996,4.81099639186573,5.24508755135244
"ABCC11",3.50243829648505,3.17819041211229,5.06225298812929,3.39302309484861,4.41501241606971,3.86307275951214,4.50931081287531,3.78991942600628,3.54992634864495,2.68313251423908
"ABCC12",-1.65529893327343,0.866190133751665,-0.965672987694457,-1.42611957125718,-1.48880001153631,-2.08038507882317,-1.44163423719852,-0.779002903812007,-1.64105852962797,0.330177604471614
"ABCC2",2.12386980053087,2.88385023916374,2.61731685326665,2.89534438717064,2.06840119284444,3.29259734231866,2.27227346916465,2.82621026234162,2.70333890895295,3.13856601307977
"ABCC3",2.41584274746886,3.17819041211229,2.5785846150235,3.73550714945132,2.3345194101578,4.01386643548229,2.10689309550346,3.80783267607569,2.46457246749517,4.54808253981897
"ABCC4",2.97788808605257,3.15869518888957,3.53978926326344,3.63739802436895,3.25634155804506,3.56804192542252,2.94356763123734,3.61104190520224,2.98859537298803,3.49876159732232
"ABCC5",5.45260697715627,4.18780534755197,5.96518379411484,3.70815009818208,5.60920978830588,3.46707742592659,5.6973599678159,4.81045106352895,5.50954826633942,3.73848950192368
"ABCC6",0.637737084972444,0.603225247834367,0.693624682552943,0.0843012487345017,1.40134373948798,-1.103183114546,1.40362753313432,0.589229188761905,2.05725256573732,0.726395731671693
"ABCC8",-1.98683232304916,-0.580668554378583,-0.793213544966489,-1.20197472842249,-1.26915471292331,1.04875760848755,0.298553300866628,0.887580029459512,-0.945333443902422,0.39388830548604
"ABCC9",4.10425457850324,3.75989856213637,4.56427889040342,4.31379370918213,4.73687633420864,3.53990865627012,4.82029413909701,4.70287883165845,4.75901312939093,4.04170925049589
"ABCD2",1.1425337250584,-0.869964603091371,-1.38834063497612,-2.43844648819419,1.24071331207699,-1.29254919018041,0.0638446221615105,-0.643013343951738,1.07643353928562,-0.53627198246894
"ABCD3",6.46530500987234,6.30353323298841,6.33702447415278,6.44946260619091,6.22835259797741,6.2488328873728,6.36006677785376,6.49645442418735,6.35168045961301,6.36055861527436
"ABCD4",4.66371392320703,4.99239479571718,5.33048338661021,5.32520702930552,5.0593870077387,4.46659370965911,4.93505042820243,5.10419652629708,4.82454797967813,5.02130828271872
"ABCE1",6.78667518684541,6.59920336006829,6.75383748896081,6.89060587877902,6.86768147492083,7.01520404209643,6.52873225168064,6.64397559871965,6.58230756238492,7.04417025895509
"ABCF1",6.86701261316876,6.74849142634041,7.16149537751128,6.82287404697256,7.02394314037547,6.81845963031876,6.85450612659622,6.47862590190397,6.84337276920673,6.90419190820811
"ABCF2",5.85314713667266,5.01153958257296,6.1134471606806,5.07246703267432,6.00766559671688,5.65522477409958,5.73452830089364,5.33789444409277,5.63981834151193,5.61619819126866
"ABCF3",6.37330345115831,7.34616536326751,6.56068018395951,7.48140017157767,6.64590190236239,7.49713629281911,6.41443524377795,6.95972174557195,6.44757749955936,7.57655270209489
"ABCG1",5.61298785409565,5.7934343629418,5.35590087832599,6.2584685913477,4.9785763567594,6.34545955751164,4.89978795166023,5.59505506128991,4.73050333405983,6.21106119567956
"ABCG2",2.38016188185715,2.20701664195377,2.54683226699402,2.76865462481887,2.49307577913154,2.75787809755315,2.7192132374117,2.63877321032867,2.71065548538022,2.43316702815138
"ABCG4",2.18718316002112,2.48262721764268,2.87556525542769,2.94306109386582,2.67615258004398,3.55404386634828,2.59243243674198,2.87233736475622,2.18881435024179,3.10088283985062
"ABCG5",3.08149948869139,4.70884554488424,2.68451764219588,4.2054639911463,4.42291586072992,5.67233435899466,-0.439332114698172,4.5622181217936,4.07139849856577,-0.125639707648079
"ABCG8",0.511495697486037,1.91331642681477,-0.373120481204285,1.75467496173938,0.611822870910164,2.99393718655256,-1.7055905216036,0.97473441955637,0.157528347341547,2.20354962627245
"ABHD10",3.51071204236551,3.94767764044215,3.00972389881536,4.15570226872006,3.4999590851278,4.1410457279965,3.49355307148314,3.96509764814992,3.5335170919198,4.15636460455612
"ABHD11",3.83450226824214,3.74690164489391,3.85058402868739,3.47646353004174,4.07221078882354,3.719954826847,3.57777461533432,3.95441558721307,3.88348813581607,3.61694000808662
"ABHD12B",2.36198497487929,1.95911485959588,0.957863223989305,0.805884932551584,0.718418087842835,1.43221082791675,2.06506133698012,1.99329022085917,0.718271982823711,1.0369132289552
"ABHD13",6.23657906884956,5.28089628114711,5.92406450391119,5.29564487309594,6.15729119378565,4.9481407983706,6.1046836613317,5.22799145800813,6.15955193102044,5.10220790165719
"ABHD14A",4.43721660395541,4.41225228164024,4.78617541309969,4.09890595421828,4.4209440549558,3.37054239947328,4.50149090358455,4.90363141375776,4.78523888091464,4.40659989989246
"ABHD14B",6.89848729689249,7.02100290475685,6.99793442828568,7.05095451416489,6.64590190236239,6.64772284508452,6.57324350595056,7.06944230689443,6.52016292306978,6.7833861898275
"ABHD15",4.55590540280967,3.81074608378165,4.65270337184457,3.70815009818208,4.64526269226476,4.27508481198902,4.603642909908,3.98622738095117,4.34496459251527,4.38128185108407
"ABHD16A",6.81451149910935,7.23943689188128,6.9410536633738,6.94178390542516,6.82171621669508,7.17236235847131,6.82347891229172,6.82492743741471,6.68105587884341,7.19625722882091
"ABHD17B",3.9362901747499,2.43480251396821,3.53170127009497,2.62975921484089,3.49246769991789,3.13226109033311,3.67135765309428,2.77249094439905,3.59015105947085,3.11039631081403
"ABHD17C",5.46968375649469,5.0908274419316,5.17559594123892,5.41413227764778,5.20399878992906,5.03132685227986,5.24181502789628,5.08473705918191,4.64525252523342,5.0419624419169
"ABHD18",4.24975279658899,5.5116348748997,3.67077050807753,5.6431007053197,3.9352503963488,5.37375668059019,3.55528836966402,5.45050528784162,3.57419550489408,5.69734751369195
"ABHD2",7.02986062861549,6.94479896866487,6.7520981235608,6.66109116970558,6.49099590936292,7.00816221154829,6.83207813022904,7.15327481065534,6.40761850526957,7.09357309057719
"ABHD3",2.20768486011646,1.31675827907521,2.03140148557707,1.04331994880488,2.01711344455422,1.80744931896413,2.02198033016828,1.75556770825794,1.43556542965929,1.61990346689736
"ABHD4",6.31307967774781,6.30658126202966,6.0763957820921,6.36302869339014,5.99711645822135,6.20807077250132,6.1264561398908,6.13394791287148,5.95681646816013,6.35181209333156
"ABHD5",5.7933632672838,3.48257053211446,4.96349425112884,3.53212708702986,4.78672812810761,3.76318404875814,5.15288184033264,4.05283694542982,4.80417256207277,3.9386703224486
"ABHD6",4.55190203654902,2.24448782855582,4.44014416073188,1.64353535840987,4.31238290227975,2.98353030024646,4.29080012700442,2.70399575313788,3.73352730052202,2.65740345348488
