"","x"
"1",0.101890739430054
"2",0.491901829668046
"3",0.0506189786108938
"4",0.225250105120208
"5",0.0335714415998063
"6",0.424438422734788
"7",0.603076777639653
"8",0.28743181940848
"9",0.103507449938732
"10",0.0291127710093376
"11",0.0231688311980061
"12",0.0463677058009647
"13",0.0224761623983022
"14",0.0204860551508405
"15",0.0208176692634213
"16",0.0315168146306997
"17",0.0269980257374996
"18",0.0351003951868722
"19",0.0243351302962834
"20",0.0975208505223453
"21",0.0238015619410865
"22",0.094661163511521
"23",0.0691855268970034
"24",0.172843986945766
"25",0.0350974685898075
"26",0.0682593434698199
"27",0.224991173456561
"28",0.0768413061322081
"29",0.0811493165075507
"30",0.0337303515136297
"31",0.0938833304395668
"32",0.0527954087139563
"33",0.0169309548822109
"34",0.0550302694281133
"35",0.0255376950206628
"36",0.0308284225301337
"37",0.0488181815552363
"38",0.148293530765458
"39",0.0440933055516559
"40",0.0412689484690612
"41",0.126367312717469
"42",0.360319997363583
"43",0.0541532408608599
"44",0.0752530433354299
"45",0.0446891798900404
"46",0.0694537510259253
"47",0.17572694703075
"48",0.332387349266578
"49",0.0660869974397726
"50",0.311332533666664
"51",0.0181145424566228
"52",0.0417356588691538
"53",0.0265304560564414
"54",0.0239445033092003
"55",0.0343880612522289
"56",0.0283452096079893
"57",0.0516482726715444
"58",0.0476378495747517
"59",0.0746364896404428
"60",0.765285535600348
"61",0.243325705908552
"62",0.0319686959907116
"63",0.0332116416447593
"64",0.193222354681917
"65",0.0198327221085162
"66",0.071764317090835
"67",0.0293413255095504
"68",0.0356984030310474
"69",0.0234238998137548
"70",0.0481330135542751
"71",0.0336694322623698
"72",0.0331142652714023
"73",0.0326283443831649
"74",0.0652116632930008
"75",0.0196471818686929
"76",0.058845105307706
"77",0.0764722139018782
"78",0.0302905545349683
"79",0.0245690728165861
"80",0.0282489830806824
"81",0.125664175190284
"82",0.0656758150541575
"83",0.0456071760692276
"84",0.0481315691662366
"85",0.030576278801152
"86",0.0306513939535312
"87",0.106980862588043
"88",0.0476140810057896
"89",0.0202113833597291
"90",0.0627247757318349
"91",0.0297133632269663
"92",0.0236856382491642
"93",0.0234021797173219
"94",0.0363852695926455
"95",0.0330174741460947
"96",0.0415363906838799
"97",0.0459455149656042
"98",0.0283297292087348
"99",0.0468951825527863
"100",0.0550985418749868
"101",0.0626522123067665
"102",0.025707705756994
"103",0.0381235369211458
