"","logFC","logCPM","F","PValue","FDR"
"HRCT1",2.1543982882173,5.2689642380378,184.09462392019,8.98132323430977e-09,1.22933702204704e-06
"ZC3H8",1.94549606335195,4.95867809129032,182.455669711005,9.45993158200759e-09,1.28432030478004e-06
"LOC123001216",5.51933317009415,0.257959879038123,105.670762445037,9.61824752475887e-09,1.28492092332759e-06
"LOC113243545",4.30830639592944,0.25470599951263,98.6256635679327,1.08379009081006e-08,1.40296207181684e-06
"LOC130544867",5.36807428699315,0.701261877200293,88.1278489261588,1.16582366143867e-08,1.47316527444868e-06
"LOC130544083",2.32687225438871,3.16829262072733,175.971055455918,1.17330966825364e-08,1.47316527444868e-06
"CARMIL2",3.87797899530781,2.9144898116986,176.246908056624,1.25225420774531e-08,1.51531833443036e-06
"LOC123002195",4.27879837569562,4.06896503901087,174.06584133258,1.26843929699715e-08,1.52386099428456e-06
"LOC123002060",3.58497040558105,0.959330416237693,156.852822432616,1.37022300818568e-08,1.61648563832888e-06
"KLF11",2.72798170860356,6.43868726314196,170.415057014886,1.40361964423006e-08,1.63909401671313e-06
"LOC123002135",2.29635717408063,2.96511158535713,169.923643128026,1.43853589113707e-08,1.66820214209014e-06
"LOC130543755",2.60949544944605,2.74279983937615,169.211523767904,1.48574091064519e-08,1.71106120461131e-06
"LOC130544133",2.43940947200096,5.68918611239481,166.836676227184,1.58647422175435e-08,1.77802235094469e-06
"SPINK14",4.18826298606472,0.930707168263476,126.348912330827,1.75416597631169e-08,1.89068097765511e-06
"LOC130544859",3.37171278947206,4.42999308594469,156.587600450408,2.29240380811294e-08,2.334198243395e-06
"LOC113250190",1.70743738891816,4.81169656033046,155.605671763729,2.36928369648539e-08,2.39785869379452e-06
"LOC125280882",3.54784322595512,2.67944578405568,154.948501295505,2.59946905859843e-08,2.5685522964222e-06
"NPHP3",1.40748390600551,4.86284486011955,152.66662660092,2.64240861112191e-08,2.58044335655701e-06
"BROX",1.52288197857757,7.07593533760021,152.083455254125,2.70017794381722e-08,2.61714996918382e-06
"LOC125281766",3.5497711302862,2.66696035361079,153.847109488966,2.71134166518236e-08,2.61714996918382e-06
"SLC4A5",3.32700593737805,4.99953404960429,150.761975448819,2.84328835371803e-08,2.69773137606462e-06
"FLOT2",1.34653326328993,6.33327286930061,149.511946760489,2.97715525743088e-08,2.76197309132435e-06
"BRF1",1.19770394141977,7.60133933370993,148.58575628606,3.08487212446778e-08,2.83045492343338e-06
"LOC130544677",3.66785552302254,1.40702377664971,145.672170343648,3.15381122081046e-08,2.85854459464891e-06
"PFKFB3",1.78560589915016,7.15542448546464,147.766694567041,3.18395888738666e-08,2.85854459464891e-06
"LOC125281362",3.15511766024562,4.44988592530633,147.123421208006,3.27324940389766e-08,2.9229942136731e-06
"RILP",1.82541532493958,4.3670085677627,146.939355528421,3.29099096026693e-08,2.92320521518604e-06
"LOC130544228",3.9618004776035,-0.493150316110146,77.0520775210734,3.45877828188333e-08,3.02398631042773e-06
